ID,Title,Time,Director,Year,Cast
825,Time Bandits , 111 minutes ,Terry Gilliam,2011,John Cleese
826,Fast & Furious 6 - Extended Edition    ,"2 hours, 12 minutes",Justin Lin,2013,"Vin Diesel, Paul Walker"
827,Jumper    ,"1 hour, 29 minutes",Doug Liman,2008,"Hayden Christensen, Jamie Bell"
828,Attack the Block [Blu-ray] , 88 minutes ,Joe Cornish,2011,John Boyega
829,Prisoners (Blu-ray+DVD) , 153 minutes ,Dennis Villeneuve,2013,Hugh Jackman
830,Watchmen Collector's Edition: Ultimate Cut + Graphic Novel [Blu-ray] , 215 minutes ,Zack Snyder,2012,Patrick Wilson
831,Where Eagles Dare , 155 minutes ,Brian G. Hutton,2010,Richard Burton
832,American Gangster [Blu-ray] , 335 minutes ,Ridley Scott,2008,Denzel Washington
833,Sherlock Holmes , 1 minutes ,Guy Ritchie,2010,Robert Downey Jr.
834,Sunshine Superman    ,"1 hour, 43 minutes",Marah Strauch,2016,"Carl Boenish,Jean Boenish"
835,Yu Yu Hakusho: Ghost Files: Season 4 , 700 minutes ,Justin Cook,2009,Christopher R. Sabat
836,Enemy of the State , 132 minutes ,Tony Scott,1999,Will Smith
837,Taken 2 , 92 minutes ,Olivier Megaton,2013,Liam Neeson
838,World Greatest F1 Cars    ,"2 hours, 12 minutes",Unavailable,1999,Unavailable
839,Cowboy Bebop Remix: The Complete Collection (Anime Legends) , 650 minutes ,Shinichiro Watanabe,2008,
840,Million Dollar Arm , 124 minutes ,Craig Gillespie,2014,Jon Hamm
841,The Other Side of Heaven , 113 minutes ,Mitch Davis,2003,Christopher Gorham
842,For Greater Glory , 150 minutes ,Dean Wright,2012,Peter O'Toole
843,Set It Off (Keep Case Packaging) , 123 minutes ,Various,2009,Various
844,G.I. Joe: Retaliation (Blu-ray / DVD / Digital Copy +UltraViolet) , 110 minutes ,Jon M. Chu,2013,Channing Tatum
845,Tremors 3: Back To Perfection    ,"1 hour, 45 minutes",Brent Maddock,2013,"Michael Gross, Shawn Christian"
846,The Magnificent Seven (Special Edition) , 128 minutes ,John Sturges,2001,Yul Brynner
847,Streets of Fire , 93 minutes ,Walter Hill,1998,Michael Pare
848,Robin Hood: Prince of Thieves (Extended Version) [Blu-ray] , 155 minutes ,Kevin Reynolds,2009,Kevin Costner
849,Act of Valor , 111 minutes ,Mike McCoy,2012,Roselyn Sanchez
850,"4 Film Favorites: Steven Seagal (Exit Wounds, Hard to Kill, On Deadly Ground, Out for Justice) ", 392 minutes ,Steven Seagal,2011,Steven Seagal
851,Safe House , 115 minutes ,Daniel Espinosa,2012,Denzel Washington
852,Miami Connection (+ Digital Copy) [Blu-ray] , 87 minutes ,Y.K. Kim,2012,Y.K. Kim
853,The Sleeping Dictionary    ,"1 hour, 50 minutes",Guy Jenkin,2003,"Jessica Alba, Brenda Blethyn"
854,The Day of the Jackal , 143 minutes ,Fred Zinnemann,1998,Edward Fox
855,The Mask of Zorro [Blu-ray] , 137 minutes ,Martin Campbell,2009,Matthew Letscher
856,Pirates II: Stagnetti's Revenge (R-Rated Version) , 95 minutes ,Joone,2009,Jesse Jane
857,A.I. Artificial Intelligence    ,"2 hours, 26 minutes",Steven Spielberg,2001,"Haley Joel Osment, Frances O'Connor"
858,Flashback    ,"1 hour, 43 minutes",Brendan Jackson Rogers,2011,"Andrew Ramos, Will Phillips"
859,Snow White & the Huntsman - Extended Edition (Blu-ray + DVD + Digital Copy + UltraViolet) , 520 minutes ,Rupert Sanders,2012,Kristen Stewart
860,Templar Nation    ,"1 hour, 25 minutes",Brian Vance,2013,"Erik Estrada, Richard Dutcher"
861,Dirty Mary Crazy Larry / Race With The Devil (Double Feature) , 185 minutes ,John Hough,2011,Peter Fonda
862,Librarian : The Curse Of The Judas Chalice    ,"1 hour, 31 minutes",Jonathan Frakes,2008,"Noah Wyle, Bruce Davison"
863,Cloverfield    ,"1 hour, 25 minutes",Matt Reeves,2008,"Lizzy Caplan, Jessica Lucas"
864,Jamaica Inn - Alfred Hitchcock - Digitally Remastered    ,"1 hour, 30 minutes",Alfred Hitchcock,2009,"Charles Laughton, Horace Hodges"
865,The Edge    ,"1 hour, 58 minutes",Lee Tamahori,1997,"Anthony Hopkins, Alec Baldwin"
866,Hatari , 158 minutes ,Various,2001,Various
867,The Wind and the Lion , 119 minutes ,John Milius,2005,Sean Connery
868,To Have and Have Not    ,"1 hour, 41 minutes",Howard Hawks,1945,"Humphrey Bogart, Walter Brennan"
869,Minority Report [Blu-ray] , 146 minutes ,Steven Spielberg,2010,Tom Cruise
870,SILVER CITY    ,"1 hour, 31 minutes",Byron Haskin,1951,"Edmond O'Brien, Yvonne De Carlo"
871,The Island    ,"2 hours, 17 minutes",Michael Bay,2005,"Ewan McGregor, Scarlett Johansson"
872,I Am Number Four [Blu-ray] , 109 minutes ,D.J. Caruso,2011,Alex Pettyfer
873,The Lost Battalion , 100 minutes ,Russell Mulcahy,2002,Ricky Schroder
874,Samson & Delilah , 133 minutes ,Cecil B. DeMille,2013,Hedy Lamarr
875,Rooster Cogburn (..and the Lady) , 108 minutes ,Stuart Millar,1998,John Wayne
876,Doctor Who: The Key to Time (Special Collector's Edition) (Stories 98-103) , 633 minutes ,George Spenton-Foster,2009,Tom Baker
877,The Right Stuff , 193 minutes ,Philip Kaufman,2011,Scott Glenn
878,The Bucket List , 97 minutes ,Rob Reiner,2008,Jack Nicholson
879,X-Men Trilogy (X-Men / X2: X-Men United / X-Men: The Last Stand) [Blu-ray] , 341 minutes ,Bryan Singer,2009,Patrick Stewart
880,Sneakers    ,"2 hours, 7 minutes",Phil Alden Robinson,1992,"Jo Marr, Gary Hershberger"
881,Robinson Crusoe on Mars (The Criterion Collection) [Blu-ray] , 110 minutes ,Byron Haskin,2011,Paul Mantee
882,Kelly's Heroes , 146 minutes ,Brian G. Hutton,2010,Perry Lopez
883,Attack the Block    ,"1 hour, 29 minutes",Joe Cornish,2011,"Jodie Whittaker, John Boyega"
884,Rat Race (2001)    ,"1 hour, 53 minutes",Jerry Zucker,2001,"Breckin Meyer, Jenica Bergere"
885,Kelly's Heroes / Where Eagles Dare (Action Double Feature) [Blu-ray] , 302 minutes ,Brian G. Hutton,2010,Clint Eastwood
886,In Deep    ,"1 hour, 17 minutes",Steve Winter,2009,"Mark Abma, Eric Hjorleifson"
887,Troy: Director's Cut (Special Edition) [Blu-ray] , 196 minutes ,Wolfgang Petersen,2007,Brad Pitt
888,The Shadow Riders , 96 minutes ,Andrew V. McLaglen,2008,Ben Johnson
889,The Fugitive (20th Anniversary Edition) [Blu-ray] , 130 minutes ,Andrew Davis,2013,Harrison Ford
890,Dante's Peak    ,"1 hour, 50 minutes",Roger Donaldson,1997,"Pierce Brosnan, Linda Hamilton"
891,"Time Machine, The (BD) [Blu-ray] ", 103 minutes ,Various,2014,Various
892,The Hunt   ,12/27/2013,Dustin Anderson,2013,23 minutes
893,Papillon , 150 minutes ,Franklin J. Schaffner,2005,Steve McQueen
894,Ladyhawke    ,"2 hours, 1 minute",Richard Donner,1985,"Matthew Broderick, Rutger Hauer"
895,Prince of Persia: The Sands of Time , 116 minutes ,Mike Newell,2010,Jake Gyllenhaal
896,The Adjustment Bureau , 106 minutes ,George Nolfi,2011,Matt Damon
897,The Man Who Would Be King , 129 minutes ,Various,2010,Various
898,Jack the Giant Slayer    ,"1 hour, 55 minutes",Bryan Singer,2013,"Nicholas Hoult, Eleanor Tomlinson"
899,Toxic Crusaders - The Complete Series   ,1/1/1991,Bill Hutton,1991,24 minutes
900,Star Wars: The Clone Wars: Season 4 , 506 minutes ,Dave Filoni,2012,Tom Kane
901,The Twilight Saga: Eclipse (Single-Disc Edition) , 124 minutes ,David Slade,2010,Kristen Stewart
902,The Expendables , 103 minutes ,Sylvester Stallone,2010,Sylvester Stallone
903,True Grit (Two-Disc Blu-ray/DVD Combo) , 110 minutes ,Joel Coen,2011,Jeff Bridges
904,The Longest Day , 178 minutes ,Andrew Marton,2002,John Wayne
905,City Slickers (Collector's Edition) , 114 minutes ,Ron Underwood,2008,Billy Crystal
906,Excalibur [Blu-ray] , 140 minutes ,John Boorman,2011,Nigel Terry
907,Troma's War    ,"1 hour, 45 minutes",Lloyd Kaufman,1988,"Carolyn Beauchamp,Sean Bowen"
908,Down Periscope    ,"1 hour, 33 minutes",David S. Ward,1996,"Kelsey Grammer, Lauren Holly"
909,The New World (2005)    ,"2 hours, 16 minutes",Terrence Malick,2005,"Colin Farrell, Q'orianka Kilcher"
911,Australia    ,"2 hours, 46 minutes",Baz Luhrmann,2008,"Shea Adams, Eddie Baroo"
912,Rio Lobo , 114 minutes ,Howard Hawks,2003,John Wayne
913,The Fugitive / U.S. Marshals (Double feature) , 261 minutes ,Various,2007,Various
914,Gangster Squad , 113 minutes ,Ruben Fleischer,2013,Ryan Gosling
915,Friday Night Lights (Widescreen Edition) , 118 minutes ,Peter Berg,2005,Billy Bob Thornton
916,Taken (Single-Disc Extended Edition) , 93 minutes ,Pierre Morel,2009,Liam Neeson
917,North to Alaska , 122 minutes ,Henry Hathaway,2003,John Wayne
919,Transporter 3 [Blu-ray] , 104 minutes ,Olivier Megaton,2009,Jason Statham
920,Queen Kong    ,"1 hour, 25 minutes",Frank Agrama,1976,"Robin Askwith, Rula Lenska"
921,Every Which Way But Loose , 114 minutes ,James Fargo,2010,Clint Eastwood
922,Noah (Blu-ray + DVD + Digital HD) , 138 minutes ,Darren Aronofsky,2014,Russell Crowe
923,Total Recall (Blu-ray + DVD) , 248 minutes ,Len Wiseman,2012,Colin Farrell
924,The Adventures of Robin Hood (1938) , 102 minutes ,William Keighley,2010,Errol Flynn
925,Red Tails , 125 minutes ,Anthony Hemingway,2012,Cuba Gooding Jr.
926,Escape Plan , 115 minutes ,Mickael Hafstrom,2014,Arnold Schwarzenegger
927,Sorcerer (1977) (BD) [Blu-ray] , 121 minutes ,William Friedkin,2014,Roy Scheider
928,The Perfect Weapon , 85 minutes ,Mark DiSalle,2012,Jeff Speakman
929,Children Who Chase Lost Voices [Blu-ray] , 116 minutes ,Makoto Shinkai,2012,Hisako Kanemoto
930,Vibes , 100 minutes ,Ken Kwapis,2009,Peter Falk
931,Mr. Robinson Crusoe    ,"1 hour, 11 minutes",A. Edward Sutherland,2007,"Douglas Fairbanks, William Farnum"
932,Terminator 3: Rise of the Machines (Blu-ray + DVD + Digital HD) , 109 minutes ,Jonathan Mostow,2014,Arnold Schwarzenegger
933,Hot Tub Time Machine 2 (Unrated)    ,"1 hour, 53 minutes",Steve Pink,2015,"Rob Corddry, Craig Robinson"
934,Terra Nova , 575 minutes ,Jon Caesar,2012,Jason O'Mara
935,The City of Lost Children , 112 minutes ,Marc Caro,1999,Briac Barthelemy
936,Arrow   ,43 minutes,John Behring,2013,"Stephen Amell, Katie Cassidy"
937,Cliffhanger (Collector's Edition) , 113 minutes ,Renny Harlin,2003,Leon
938,Mission: Impossible - The Sixth TV Season , 1119 minutes ,Barry Crane,2009,Peter Graves
939,Vampyros Lesbos (English Subtitled)   ,"1 hour, 30 minutes",Jesús Franco,1970,"Soledad Miranda, Dennis Price"
940,Clash of the Titans (1981)    ,"1 hour, 58 minutes",Desmond Davis,1981,"Laurence Olivier, Claire Bloom"
941,Birds of Prey: The Complete Series   ,48 minutes,Brian Robbins,2002,"Ashley Scott, Dina Meyer"
942,Spawn    ,"1 hour, 37 minutes",Mark A.Z. Dippé,1997,"Michael Jai White, John Leguizamo"
943,Demolition Man (BD) [Blu-ray] , 115 minutes ,Marco Brambilla,2011,Sylvester Stallone
944,Bird of Paradise    ,"1 hour, 23 minutes",King Vidor,2012,"Dolores del Rio, Joel McCrea"
945,Godzilla vs. SpaceGodzilla / Godzilla vs. Destoroyah , 210 minutes ,Kensho Yamashita,2002,Takurô Tatsumi
946,Lost Horizon , 134 minutes ,Frank Capra,1999,Edward Everett Horton
947,Rat Race (Special Collector's Edition) , 112 minutes ,Jerry Zucker,2002,Breckin Meyer
948,Never Say Never Again (Collector's Edition) [Blu-ray] , 134 minutes ,Irvin Kershner,2009,Sean Connery
949,Batman: Year One    ,"1 hour, 5 minutes",Sam Liu,2011,"Bryan Cranston, Ben McKenzie"
950,Tekkon Kinkreet [Blu-ray] , 110 minutes ,Michael Arias,2007,
951,RoboCop [Blu-ray] , 117 minutes ,José Padilha,2014,Joel Kinnaman
952,Bruce Lee: Way Of The Dragon / Game Of Death , 199 minutes ,Bruce Lee,2013,Bruce Lee
953,Blood Diamond (Widescreen Edition) , 143 minutes ,Edward Zwick,2008,Leonardo DiCaprio
954,Captain Horatio Hornblower , 117 minutes ,Raoul Walsh,2007,Gregory Peck
955,Biker Boyz (2003) , 111 minutes ,Various,2013,Various
956,After the Sky Falls    ,30 minutes,Eric Pollard,2015,"Eric Pollard,Chris Benchetler"
957,Empire of the Sun    ,"2 hours, 33 minutes",Steven Spielberg,1987,"Christian Bale, John Malkovich"
958,"Nancy Drew, Reporter    ","1 hour, 15 minutes",William Clemens,1939,"Bonita Granville, John Litel"
959,Ghost Rider Spirit of Vengeance    ,"1 hour, 36 minutes",Mark Neveldine,2012,"Nicolas Cage, Violante Placido"
960,Da Vinci's Demons   ,59 minutes,David S. Goyer,2013,"Tom Riley, Laura Haddock"
961,Fantastic Four: Rise of the Silver Surfer , 92 minutes ,Tim Story,2007,Jessica Alba
962,Half A Sinner (1940)    ,"1 hour, 0 minutes",Al Christie,2007,"Heather Angel, John 'Dusty' King"
963,The Philadelphia Experiment , 102 minutes ,Stewart Raffill,2011,Michael Pare
964,Chronicle (Two-Disc Blu-ray/DVD Combo +Digital Copy) , 84 minutes ,Josh Trank,2012,Michael B. Jordan
965,Appleseed: Alpha [Blu-ray] , 93 minutes ,Shinji Aramaki,2014,
966,Pompeii    ,"1 hour, 45 minutes",Paul W.S. Anderson,2014,"Kit Harington, Carrie-Anne Moss"
967,Pirates Of Dark Water (4 Disc) , 462 minutes ,Don Lusk,2012,Jodi Benson
968,The Hunger Games Featurettes:    ,15 minutes,Gary Ross,2012,"Jennifer Lawrence,Josh Hutcherson"
969,Great World Hotels   ,4/25/2012,Tasha Eipe,2012,24 minutes
970,The Postman (Keep Case Packaging) , 177 minutes ,Kevin Costner,2009,Kevin Costner
971,Father Goose    ,"1 hour, 57 minutes",Ralph Nelson,1964,"Cary Grant, Leslie Caron"
972,A Bronx Tale , 121 minutes ,Robert De Niro,1998,Patrick Borriello
973,Smallville   ,46 minutes,Tom Welling,2001,"Tom Welling, Allison Mack"
974,Cobra (1986) , 87 minutes ,George P. Cosmatos,2010,Sylvester Stallone
975,The International    ,"1 hour, 58 minutes",Tom Tykwer,2009,"Clive Owen, Naomi Watts"
976,The Wings of Eagles , 110 minutes ,John Ford,2007,John Wayne
977,Menace II Society (Director's Cut) [Blu-ray] , 98 minutes ,Various,2009,Various
978,Ip Man , 107 minutes ,Wilson Yip,2010,Donnie Yen
979,Starship Troopers Trilogy [Blu-ray] , 325 minutes ,Edward Neumeier,2008,Casper Van Dien
980,High Octane Overboost    ,"1 hour, 59 minutes",Ketzal Sterling,2004,"Ketzal Sterling, Camille"
981,ROAD TO NINJA -NARUTO THE MOVIE-    ,"1 hour, 51 minutes",Hayato Date,2012,"Junko Takeuchi, Chie Nakamura"
982,Bonnie and Clyde    ,"1 hour, 51 minutes",Arthur Penn,1967,"Warren Beatty, Faye Dunaway"
983,Air Force One    ,"2 hours, 5 minutes",Wolfgang Petersen,1997,"Harrison Ford, Gary Oldman"
984,All Is Lost , 106 minutes ,J. C. Chandor,2014,Robert Redford
985,Lord of the Rings (1978)    ,"2 hours, 14 minutes",Ralph Bakshi,1978,"Christopher Guard, William Squire"
986,Red River , 133 minutes ,Arthur Rosson,1997,John Wayne
987,Where Eagles Dare    ,"2 hours, 36 minutes",Brian G. Hutton,1969,"Richard Burton, Clint Eastwood"
988,Clash of the Titans , 106 minutes ,Louis Leterrier,2010,Sam Worthington
989,The River Wild , 112 minutes ,Curtis Hanson,1997,Meryl Streep
990,Asphalt Angels    ,"1 hour, 13 minutes",Christopher Krueger,2015,"Justine Renee,John C. Epperson"
991,"Angel Collection: Angel/Angel 2: Avenging Angel/Angel 3: The Final Chapter, The ", 360 minutes ,Robert Vincent O'Neill,2011,Donna Wilkes
992,The Assassination of Jesse James    ,"2 hours, 40 minutes",Andrew Dominik,2007,"Brad Pitt, Mary-Louise Parker"
993,Extreme Challenge (English Subtitled) (English Subtitled)   ,"1 hour, 29 minutes",Wei Tung,2015,"Ken Chang, Patricia Ja Lee"
994,Paul    ,"1 hour, 45 minutes",Greg Mottola,2011,"Mia Stallard, Simon Pegg"
995,Quest for Camelot    ,"1 hour, 27 minutes",Frederik Du Chau,1998,"Jessalyn Gilsig, Andrea Corr"
996,Time After Time , 112 minutes ,Nicholas Meyer,2008,Malcolm McDowell
997,The Ford GT 40    ,53 minutes,Motorsports World,1997,"Carrol Shelby,Chris Amon"
998,Mediatakeout.com Presents First Date   ,11/2/2011,Dan Garcia,2011,23 minutes
999,The League of Extraordinary Gentlemen (Widescreen Edition) , 110 minutes ,Stephen Norrington,2003,Sean Connery
1000,Dragon Ball Z: Season 1 (Vegeta Saga) , 925 minutes ,Daisuke Nishio,1996,Shigeru Chiba
1001,Logan's Run , 118 minutes ,Michael Anderson,2007,Michael York
1002,King Kong [Blu-ray] , 200 minutes ,Peter Jackson,2009,Naomi Watts
1003,Red Sonja (1985) , 89 minutes ,John McGiver,2004,Brigitte Nielsen
1004,Blade: Trinity (R-rated)    ,"1 hour, 53 minutes",David S. Goyer,2004,"Wesley Snipes, Kris Kristofferson"
1005,Smiley Face , 85 minutes ,Gregg Araki,2008,Anna Faris
1006,Close Encounters/Starman , 249 minutes ,John Carpenter,2010,Richard Dreyfuss
1007,Battlestar Galactica ('04)   ,44 minutes,Michael Rymer,2005,"Edward James Olmos, Mary McDonnell"
1008,Sin Nombre , 96 minutes ,Cary Joji Fukunaga,2009,Paulina Gaitan
1009,Justice League: Doom [Blu-ray] , 300 minutes ,Various,2012,Various
1010,Homefront , 101 minutes ,Gary Fleder,2014,Jason Statham
1011,Sweetwater , 95 minutes ,Logan Miller,2013,Ed Harris
1012,Gods and Generals (Extended Director's Cut)    ,"4 hours, 40 minutes",Ron Maxwell,2003,"Donzaleigh Abernathy, Mark Aldrich"
1013,The Man Who Would Be King    ,"2 hours, 9 minutes",John Huston,1975,"Sean Connery, Michael Caine"
1014,In the Army Now , 92 minutes ,Daniel Petrie Jr.,2004,Pauly Shore
1015,Battle Royale: The Complete Collection [Blu-ray] , 368 minutes ,Kinji Fukasaku,2012,Beat Takeshi
1016,Person of Interest   ,44 minutes,David Semel,2011,"Jim Caviezel, Taraji P. Henson"
1017,Bill & Ted's Excellent Adventure , 90 minutes ,Stephen Herek,2001,Keanu Reeves
1018,The Green Berets , 142 minutes ,John Wayne,2007,John Wayne
1019,Fail-Safe , 112 minutes ,Sidney Lumet,2000,Henry Fonda
1020,Doctor Who   ,"1 hour, 8 minutes",Adam Smith,2010,"Matt Smith, Karen Gillan"
1021,Longitude , 200 minutes ,Charles Sturridge,2000,Michael Gambon
1022,Blood and Bone , 93 minutes ,Ben Ramsey,2009,Dante Basco
1023,Australia , 165 minutes ,Baz Luhrmann,2009,Hugh Jackman
1024,The Professionals (Special Edition) , 117 minutes ,Richard Brooks,2005,Ralph Bellamy
1025,The Towering Inferno [Blu-ray] , 165 minutes ,John Guillermin,2009,Paul Newman
1026,Fantasy Island - The Complete First Season , 776 minutes ,Michael Preece,2005,Ricardo Montalban
1027,Ninja III: The Domination [Blu-ray/DVD Combo] , 92 minutes ,Sam Firstenberg,2013,Sho Kosugi
1028,Joe Dirt    ,"1 hour, 32 minutes",Dennie Gordon,2001,"David Spade, Brittany Daniel"
1029,The Simpsons Movie [Blu-ray] , 87 minutes ,David Silverman,2007,Dan Castellaneta
1030,Teen Titans Go!   ,12 minutes,Luke Cormican,2014,"Greg Cipes, Scott Menville"
1031,"Saint, The (1997) ", 118 minutes ,Various,2013,Various
1032,The Italian Job , 111 minutes ,F. Gary Gray,2003,Donald Sutherland
1033,The Last Templar , 170 minutes ,Paolo Barzman,2009,Mira Sorvino
1034,Man of La Mancha , 132 minutes ,Arthur Hiller,2004,Peter O'Toole
1035,Legend of the Seawolf - Digitally Remastered (Amazon.com Exclusive)    ,"1 hour, 31 minutes",Giuseppe Vari,2013,"Chuck Connors, Giuseppe Pambieri"
1036,Surviving the Game (1994)    ,"1 hour, 37 minutes",Ernest R. Dickerson,1994,"Ice-T, Rutger Hauer"
1037,Air Force One , 135 minutes ,Wolfgang Petersen,1998,Gary Oldman
1038,Jonah Hex    ,"1 hour, 22 minutes",Jimmy Hayward,2010,"Josh Brolin, John Malkovich"
1039,White Fang    ,"1 hour, 49 minutes",Randal Kleiser,1991,"Klaus Maria Brandauer, Ethan Hawke"
1040,The Imaginarium of Doctor Parnassus , 123 minutes ,Terry Gilliam,2010,Heath Ledger
1041,The Matrix [Blu-ray] , 136 minutes ,Andy Wachowski,2009,Keanu Reeves
1042,The D.I. , 106 minutes ,Jack Webb,2009,Don Dubbins
1043,Outbreak    ,"2 hours, 9 minutes",Wolfgang Petersen,1995,"Dustin Hoffman, Rene Russo"
1044,Menace II Society    ,"1 hour, 37 minutes",Albert Hughes,1993,"Tyrin Turner, Larenz Tate"
1045,David: The Bible Collection , 182 minutes ,Various,2005,Various
1046,Demolition Man    ,"1 hour, 55 minutes",Marco Brambilla,1993,"Sylvester Stallone, Wesley Snipes"
1047,The Secret of the Magic Mushroom    ,"1 hour, 31 minutes",Christian Markhofs,2009,"Christian Markhoff,Werner Timm"
1048,Spartacus , 197 minutes ,Stanley Kubrick,1998,Kirk Douglas
1049,Highlander: Director's Cut [Blu-ray] , 116 minutes ,Russell Mulcahy,2010,Christopher Lambert
1050,Sahara (2005) , 124 minutes ,Various,2005,Various
1051,King Kong (Extended Version)    ,"3 hours, 21 minutes",Peter Jackson,2005,"Naomi Watts, Jack Black"
1052,Star Trek Voyager - The Complete Fifth Season , 1216 minutes ,Allan Eastman,2004,Kate Mulgrew
1053,Twilight (Single-Disc Edition) , 122 minutes ,Catherine Hardwicke,2010,Kristen Stewart
1054,Set It Off    ,"2 hours, 3 minutes",F. Gary Gray,1996,"Jada Pinkett Smith, Queen Latifah"
1055,Rocky    ,"2 hours, 0 minutes",John G. Avildsen,1976,"Sylvester Stallone, Talia Shire"
1056,Aerial Gunner    ,"1 hour, 18 minutes",William H. Pine,2006,"Chester Morris, Richard Arlen"
1057,Days Of Thunder , 107 minutes ,Various,1999,Various
1058,The Fall (+ BD Live) [Blu-ray] , 117 minutes ,Tarsem Singh,2008,Lee Pace
