ID,Title,Time,Director,Year,Cast
1258,Ashura-jÌ« no hitomi,1 hr. 59 min.,Yojiro Takita,2005,"AtsurÌ« Watabe, Fumiyo Kohinata, Hanae Kan, Kanako Higuchi, Kazuo Kuwabara, Rie Miyazawa"
1259,Thirty Seconds Over Tokyo,2 hr. 18 min.,Mervyn LeRoy,1944,"Van Johnson, Spencer Tracy, Robert Walker, Phyllis Thaxter, Tim Murdock, Scott McKay"
1260,The Prodigy,1 hr. 44 min.,Edward Mcdougal,1998,"John Farrimond, Sarah Stacker Jones, Mark M. Rasenick, Dorothea Mirot, Bobbie Rose Dienhart, Barbara Rubenstein"
1261,Ghost Rider,1 hr. 50 min.,Mark Steven Johnson,2007,"Nicolas Cage, Eva Mendes, Wes Bentley, Sam Elliott, Peter Fonda, Donal Logue"
1262,Primeval,1 hr. 34 min.,Michael Katleman,2007,"Dominic Purcell, Brooke Langton, Orlando Jones, JÌ_rgen Prochnow, Gideon Emery, Gabriel Malema"
1263,Blood and Chocolate,1 hr. 38 min.,Katja von Garnier,2007,"Agnes Bruckner, Hugh Dancy, Olivier Martinez, Katja Reimann, Bryan Dick, Katja Riemann"
1264,One-Armed Swordsman,1 hr. 49 min.,Chang Chueh,1967,"Yu Wang, Pan Yin Tze, Chiao Chiao, Liu Chia-Liang, David Chiang, Chung-Hsin Huang"
1265,Ginostra,2 hr. 19 min.,Manuel Pradal,2002,"Harvey Keitel, Andie MacDowell, Harry Dean Stanton, Stefano Dionisi, Francesca Neri, Asia Argento"
1266,Give and Take and Take,1 hr. 20 min.,Jaspreet Grewal,2003,"Tom Bird, John Enthoven, Johanna Graham, Frank Scantori, James Arden, Carol Styles"
1267,Criminal Xing,1 hr. 24 min.,Alberto G. Rodriguez,2007,"Daniel Garcia, Manny Hernandez, Solomon Macedo, Anthony Duran, Briana Herrera, Jenny Roquemore"
1268,Bridge to Terabithia,1 hr. 34 min.,Gabor Csupo,2007,"Josh Hutcherson, Annasophia Robb, Zooey Deschanel, Robert Patrick, Bailee Madison, Emma Fenton"
1269,Skyjacked,1 hr. 40 min.,John Guillermin,1972,"Charlton Heston, Yvette Mimieux, James Brolin, Claude Akins, Jeanne Crain, Susan Dey"
1270,Hot Rods to Hell,1 hr. 32 min.,John Brahm,1967,"Dana Andrews, Jeanne Crain, Laurie Mock, Paul Bertoya, Mimsy Farmer, Gene Kirkwood"
1271,Zero Hour!,1 hr. 21 min.,Hall Bartlett,1957,"Dana Andrews, Sterling Hayden, Linda Darnell, Peggy King, Elroy ""Crazylegs"" Hi..., Geoffrey Toone"
1272,Land of the Pharaohs,1 hr. 42 min.,Howard Hawks,1955,"Jack Hawkins, Joan Collins, Dewey Martin, Alex Minotis, James Robertson Just..., Sydney Chaplin"
1273,Il Colosso di Rodi (The Colossus of Rhodes),2 hr. 9 min.,Sergio Leone,1961,"Rory Calhoun, Lea Massari, Georges Marchal, Conrado San Martin, Ìngel Aranda, Mabel Karr"
1274,Queen of Outer Space,1 hr. 20 min.,Edward Bernds,1958,"Zsa Zsa Gabor, Eric Fleming, Laurie Mitchell, Paul Birch, Barbara Darrow, Dave Willock"
1275,Ta Ra Rum Pum,2 hr. 36 min.,Siddharth Anand Kumar,2007,"Saif Ali Khan, Rani Mukherjee, Rani Mukerji, Ali Haji, Angelina Idnani, Javed Jaffrey"
1276,The Mark of the Hawk,1 hr. 23 min.,Michael Audley,1958,"Sidney Poitier, Eartha Kitt, Juano Hernandez, John McIntire, Helen Horton, Marne Maitland"
1277,4 Life,,Hakim Khalfani,2007,"Wood Harris, Elise Neal, J.D. Williams, Allen Maldonado, Page Kennedy, Sundy Carter"
1278,Ghost in the Shell: Solid State Society,1 hr. 48 min.,Kenji Kamiyama,2007,"Atsuko Tanaka, Osamu Saka, Akio ÌÓtsuka, Kouichi Yamadera, Yutaka Nakano, Toru Okawa"
1279,Shooter,2 hr. 5 min.,Antoine Fuqua,2007,"Mark Wahlberg, Michael PeÌ±a, Danny Glover, Kate Mara, Elias Koteas, Rhona Mitra"
1280,Disappearances,1 hr. 58 min.,Jay Craven,2007,"Kris Kristofferson, Charlie McDermott, GeneviÌ¬ve Bujold, Gary Farmer, William Sanderson, Lothaire Bluteau"
1281,Castle Rock,1 hr. 25 min.,Craig Clyde,2000,"Alana Austin, Roger Velasco, Pamela Bach, Wolf Larson, Frank Gorshin, Ernest Borgnine"
1282,Seven Thieves,1 hr. 42 min.,Henry Hathaway,1960,"Edward G. Robinson, Rod Steiger, Joan Collins, Eli Wallach, Michael Dante, Alexander Scourby"
1283,Mirror Wars: Reflection One,1 hr. 49 min.,Vasili Chiginsky,2005,"Armand Assante, Malcolm McDowell, Rutger Hauer, Olga Yakovtseva, Alexander Efimov, Alexander Kuznetsov"
1284,Amor xtremo,1 hr. 41 min.,Chava Cartas,2006,"Daniel Martinez XI, AarÌ_n DÌ_az, AdriÌÁn Cruz, Alberto Agnesi, Alonso Cardoso, IrÌÁn Castillo"
1285,The Contractor,1 hr. 38 min.,Josef Rusnak,2007,"Wesley Snipes, Eliza Bennett, Lena Headey, Ralph Brown, Charles Dance, Elizabeth Bennett"
1286,Shootout at Lokhandwala,,Apoorva Lakhia,2007,"Amitabh Bachchan, Sanjay Dutt, Suniel Shetty, Abhishek Bachchan, Tusshar Kapoor, Vivek Oberoi"
1287,The Last Mimzy,1 hr. 36 min.,Robert Shaye,2007,"Chris O'Neil, Joely Richardson, Chris O'Neill, Timothy Hutton, Rhiannon Leigh Wryn, Kathryn Hahn"
1288,Earthstorm,1 hr. 29 min.,Terry Cunningham,2006,"Stephen Baldwin, Dirk Benedict, Amy Price-Francis, Heather Chase, James Gallanders, Jessica Heafey"
1289,Dynamite Warrior,1 hr. 43 min.,Chalerm Wongphim,2007,"Dan Chupong, Panna Rittikrai, Leo Putt, Samart Tipthamai, Somdej Keawlue, Kanyapak Suwannakoot"
1290,Last Hurrah for Chivalry,2 hr.,John Woo,1979,"Damian Lau, Hau Pak Wai, Liu Sung Yan, Fung Hark On, Ngai Tsau Wah, Liu Lau Kong"
1291,The Pirate,1 hr. 42 min.,Vincente Minnelli,1948,"Judy Garland, Gene Kelly, Walter Slezak, Gladys Cooper, Reginald Owen, George Zucco"
1292,The Monster Squad,1 hr. 22 min.,Fred Dekker,1987,"Andre Gower, Robby Kiger, Stephen Macht, Duncan Regehr, Tom Noonan, Brent Chalem"
1293,The Host,1 hr. 59 min.,Joon-ho Bong,2007,"Song Kang-ho, Ah-sung Ko, Byun Hee-bong, Park Hae-il, Hie-bong Byeon, Ko A-sung"
1294,Afghan Knights,1 hr. 42 min.,Allan Harmon,2007,"Michael Madsen, Francesco Quinn, Steve Bacic, Colin Lawrence, Steven Cree Molison, Chris Kramer"
1295,Renaissance,1 hr. 45 min.,Christian Volckman,2006,"Daniel Craig, Patrick Floersheim, Catherine McCormack, Laura Blanc, Virgine Mery, Ian Holm"
1296,Pathfinder,1 hr. 39 min.,Marcus Nispel,2007,"Karl Urban, Moon Bloodgood, Clancy Brown, Russell Means, Jay Tavare, Wayne Charles Baker"
1297,The Big Steal,1 hr. 12 min.,Lewis Allen,1949,"Robert Mitchum, William Bendix, Jane Greer, Ramon Novarro, Patric Knowles, Don Alvarado"
1298,Hot Fuzz,2 hr. 1 min.,"Pegg and Edgar Wright (""Shaun of the Dead"")",2007,"Simon Pegg, Nick Frost, Jim Broadbent, Steve Coogan, Edward Woodward, Paddy Considine"
1299,Mustang Sally,1 hr. 28 min.,Iren Koster,2006,"E.G. Daily, Mark Parrish, Lindsey Labrum, E. G. Daily, Erik Fellows, Al Santos"
1300,Firehouse Dog,1 hr. 51 min.,Todd Holland,2007,"Josh Hutcherson, Bruce Greenwood, Bill Nunn, Steven Culp, Scotch Ellis Loring, Mayte Garcia"
1301,300,1 hr. 56 min.,Zack Snyder,2007,"Gerard Butler, Lena Headey, David Wenham, Rodrigo Santoro, Andrew Pleavin, Andrew Tiernan"
1302,TMNT,1 hr. 26 min.,Kevin Munroe,2007,"Chris Evans, Sarah Michelle Gella..., Mako, Patrick Stewart, Mitchell Whitfield, James Arnold Taylor"
1303,The Wild Women of Wongo,1 hr. 13 min.,James L. Wolcott,1958,"Jean Hawkshaw, John Walsh, Mary Ann Webb, Ed Fury, Cande Gerrard, Joyce Nizzari"
1304,Doctor Strange,1 hr. 16 min.,Greg Johnson,2007,"Bryce Johnson, Michael Yama, Susan Spano, Tara Strong, Fred Tatasciore, Masasa Moyo"
1305,Aqua Teen Hunger Force Colon Movie Film for Theaters,1 hr. 26 min.,Matt Maiellaro,2007,"Dana Snyder, Dave Willis, Carey Means, Andy Merrill, Mike Schatz, Matt Maiellaro"
1306,She,1 hr. 35 min.,Irving Pichel,1935,"Randolph Scott, Helen Gahagan, Nigel Bruce, Helen Mack, Gustav von Seyfferti..., Samuel S. Hinds"
1307,Wild Hogs,1 hr. 39 min.,Walt Becker,2007,"Tim Allen, John Travolta, Martin Lawrence, William H. Macy, Ray Liotta, Marisa Tomei"
1308,Collapse,1 hr. 30 min.,Javier Barbera,2007,"Jackie Di Crystal, Robert E. O'Connor"
1309,Redline,1 hr. 33 min.,Andy Cheng,2007,"Nadia Bjorlin, Nathan Phillips, Angus Macfadyen, Eddie Griffin, Tim Matheson, Barbara Niven"
1310,The Steel Helmet,1 hr. 24 min.,Samuel Fuller,1951,"Gene Evans, Robert Hutton, Steve Brodie, James Edwards, Richard Loo, Sid Melton"
1311,The Far Side of Jericho,1 hr. 42 min.,Tim Hunter,2006,"Patrick Bergin, Lawrence Pressman, Judith Burnett, C. Thomas Howell, Lissa Negrin, John Diehl"
1312,Wrangler,1 hr. 33 min.,Ian Barry,2007,"Jeff Fahey, Tushka Bergen, Steven Vidler, Richard Moir, Shane Briant, Frederick Parslow"
1313,The Hit,1 hr. 37 min.,Ryan Combs,2005,"Blair Underwood, James Russo, Eddie B. Smith, DeRay Davis, Ernest Harden Jr., C.T. Fletcher"
1314,Kung Fu Fighter,1 hr. 40 min.,Yip Wing Kin,2007,"Vanness Wu, Terry Fan Siu Wong, Hsiao Liang, Chi Chung Lam, Kwok-Kwan Chan, Siu-Lung Leung"
1315,Cash,2 hr. 25 min.,Anubhav Sinha,2007,"Ajay Devgan, Suniel Shetty, Diya Mirza, Esha Deol, Ritesh Deshmukh, Ayesha Takia"
1316,Zoom,1 hr. 28 min.,Peter Hewitt,2006,"Tim Allen, Courteney Cox, Chevy Chase, Spencer Breslin, Kevin Zegers, Rip Torn"
1317,The City of Violence (Jjakpae),1 hr. 32 min.,Seung-wan Ryoo,2006,"Jeong Du-hong, Beom-su Lee, Kim Seo-Hyeong, Ahn Gil-gang, Ryu Seung-wan, Doo-hong Jung"
1318,Green Sails,1 hr. 34 min.,Whitney Ransick,2000,"Alexandra Paul, Michael Houston King, Marcus Graham, Dennis Garber, Thomas Kretschmann, Michael Ontkean"
1319,Naruto the Movie: Ninja Clash in the Land of Snow (GekijÌ«-ban Naruto: Daikatsugeki!),1 hr. 35 min.,Tensai Okamura,2004,"Junko Takeuchi, Maile Flanagan, YÌÈko Kaida, Kari Wahlgren, Yuri Lowenthal, Kate Higgins"
1320,DOA: Dead or Alive,1 hr. 26 min.,Corey Yuen,2007,"Jaime Pressly, Devon Aoki, Sarah Carter, Natassia Malthe, Kane Kosugi, Matthew Marsden"
1321,Delta Farce,1 hr. 29 min.,C.B. Harding,2007,"Larry The Cable Guy, Bill Engvall, D.J. Qualls, Danny Trejo, Marisol Nichols, Keith David"
1322,I Witness,1 hr. 38 min.,Rowdy Herrington,2003,"Jeff Daniels, James Spader, Portia de Rossi, Clifton Collins Jr., Wade Williams, Mark Carlton"
1323,The Trip,1 hr. 25 min.,Roger Corman,1967,"Peter Fonda, Dennis Hopper, Susan Strasberg, Bruce Dern, Jack Nicholson, Salli Sachse"
1324,The Lost World,1 hr. 38 min.,Irwin Allen,1960,"Claude Rains, Michael Rennie, David Hedison, Jill St. John, Fernando Lamas, Richard Haydn"
1325,Griffin and Phoenix,1 hr. 42 min.,Ed Stone,2006,"Amanda Peet, Dermot Mulroney, Sarah Paulson, Blair Brown, Alison Elliott, Lois Smith"
1326,Death Proof,1 hr. 54 min.,Robert Rodriguez,2007,"Kurt Russell, Rosario Dawson, Vanessa Ferlito, Jordan Ladd, Rose McGowan, Sydney Tamiia Poitie..."
1327,BloodRayne 2: Deliverance,1 hr. 29 min.,Uwe Boll,2007,"Natassia Malthe, Zack Ward, Brendan Fletcher, Michael ParÌ©, Christopher Coppola, Chris Coppola"
1328,The Condemned,1 hr. 53 min.,Scott Wiper,2007,"Steve Austin, Vinnie Jones, Steve 'Stone Cold' A..., Rick Hoffman, Madeline West, Robert Mammone"
1329,Superman: Doomsday,1 hr. 15 min.,Lauren Montgomery,2007,"Adam Baldwin, Anne Heche, James Marsters, Swoosie Kurtz, John DiMaggio, Tom Kenny"
1330,Triad Election (Hak se wui yi wo wai kwai),1 hr. 35 min.,Johnnie To,2007,"Simon Yam, Louis Koo, Wong Tin-lam, Yao Yung, Suet Lam, Nick Cheung Ka-Fai"
1331,Robinson Crusoe on Mars,1 hr. 49 min.,Byron Haskin,1964,"Paul Mantee, Vic Lundin, Adam West, Vic Lunden, Barney the Woolly Mo..., Victor Lundin"
1332,Caryl of the Mountains,1 hr. 1 min.,Bernard B. Ray,1936,"Lois Wild, Francis X. Bushman J..., Earl Dwyer, Robert Walker, Steve Clark, George Cheseboro"
1333,Splinter,1 hr. 36 min.,Michael D. Olmos,2006,"Tom Sizemore, Edward James Olmos, Enrique Almeida, Resmine Atis, Noel Gugliemi, Delilah Cotto"
1334,Tekkon kinkurÌ¨to (Tekkonkinkreet),1 hr. 51 min.,Hiroaki Ando,2007,"Kazunari Ninomiya, YÌÈ Aoi, Yusuke Iseya, KankurÌ« KudÌ«, Min Tanaka, RokurÌ« Naya"
1335,Witchblade,1 hr. 31 min.,Yoshimitsu Ohashi,2006,"Akemi Kanda, Mamiko Noto, Masaya Matsukaze, Mie Sonozaki, Shizuka Itou, Carrie Savage"
1336,Walking Tall: Lone Justice,1 hr. 34 min.,Tripp Reed,2007,"Kevin Sorbo, Yvette Nipar, Jennifer Sipes, Haley Ramm, Benjamin J. Burdick, Rodrigo De La Rosa"
1337,Final Contract: Death on Delivery,1 hr. 37 min.,Axel Sand,2006,"Drew Fuller, Tanja Wenzel, Ken Bones, Sam Douglas, Alison King, Tim Steed"
1338,The Other Side,1 hr. 46 min.,Gregg Bishop,2007,"Nathan Mobley, Poncho Hodges, Justin Welborn, Blair Redford, Jaimie Alexander, Cory Rouse"
1339,Evil Aliens,1 hr. 29 min.,Jake West,2005,"Emily Booth, Christopher Adamson, Norman Lovett, Jodie Shaw, Samuel Butler, Peter McNeil O'Conno..."
1340,Day Night Day Night,1 hr. 34 min.,Julia Loktev,2006,"Luisa Williams, Josh Phillip Weinste..., Josh Philip Weinstei..., Gareth Saxe, Nyambi Nyambi, Frank Datolo"
1341,Fantastic Four: Rise of the Silver Surfer,1 hr. 32 min.,Tim Story,2007,"Ioan Gruffudd, Jessica Alba, Chris Evans, Michael Chiklis, Julian McMahon, Kerry Washington"
1342,Perfect Creature,1 hr. 28 min.,Glenn Standring,2006,"Dougray Scott, Saffron Burrows, Leo Gregory, Stuart Wilson, Scott Wills, Craig Hall"
1343,Zoku shinobi no mono (The Ninja Part II) (Shinobi No Mono 2: Vengeance),1 hr. 33 min.,Satsuo Yamamoto,1963,"RaizÌ« Ichikawa, Shiho Fujimura, Mikiko Tsubouchi, Tomisaburo Wakayama, SÌ« Yamamura"
1344,Surf's Up,1 hr. 25 min.,Ash Brannon,2007,"Shia LaBeouf, Jeff Bridges, Zooey Deschanel, James Woods, Diedrich Bader, Danny Mann"
1345,Ultimate Force,1 hr. 30 min.,Mark Burson,2006,"Mirko Filipovic, Mirko ""Cro Cop"" Fili..., Ruza Madarevic, Igor Galo, Igor Gallo, Bozidar Smiljanic"
1346,Shinobi No Mono,1 hr. 44 min.,Satsuo Yamamoto,1962,"RaizÌ« Ichikawa, Tomisaburo Wakayama, Yunosuke Ito, Shiho Fujimura"
1347,Caged Fury,1 hr. 25 min.,Bill Milling,1990,"Erik Estrada, Richie Barathy, Roxanna Michaels, Paul L. Smith, James Hong, Michael Parks"
1348,Loaded,1 hr. 55 min.,Anna Campion,1996,"Oliver Milburn, Nick Patrick, Catherine McCormack, Thandie Newton, Matthew Eggleton, Danny Cunningham"
1349,Planet Terror (Grindhouse Presents: Robert Rodriguez's Planet Terror),1 hr. 26 min.,Quentin Tarantino,2007,"Rose McGowan, Freddy Rodriguez, Josh Brolin, Marley Shelton, Jeff Fahey, Michael Biehn"
1350,The Flame and the Arrow,1 hr. 28 min.,Jacques Tourneur,1950,"Burt Lancaster, Virginia Mayo, Robert Douglas, Aline MacMahon, Nick Cravat, Gordon Gebert"
1351,South Sea Woman,1 hr. 39 min.,Arthur Lubin,1953,"Burt Lancaster, Chuck Connors, Virginia Mayo, Paul Burke, Barry Kelley, Hayden Rorke"
1352,Transformers,2 hr. 23 min.,Michael Bay,2007,"Shia LaBeouf, Megan Fox, Josh Duhamel, Tyrese Gibson, Rachael Taylor, Anthony Anderson"
1353,Home of the Brave,1 hr. 14 min.,Paola di Florio,2004,"Mary Liuzzo, Sally Liuzzo, Penny Liuzzo, J.L. Chesnut, Gloria Steinem, Eric Jacobs"
1354,Home of the Brave,1 hr. 45 min.,Irwin Winkler,2006,"Samuel L. Jackson, Jessica Biel, Brian Presley, 50 Cent, Christina Ricci, Chad Michael Murray"
1355,Merlin's Shop of Mystical Wonders,1 hr. 32 min.,Allan Miller,1996,"Ernest Borgnine, George Milan, Bunny Summers, John Terrence, Patricia Sansone, Bob Mendlesohn"
1356,Meet the Robinsons,1 hr. 36 min.,Steve Anderson (V),2007,"Angela Bassett, Daniel Hansen, Jordan Fry, Wesley Singerman, Tom Selleck, Harland Williams"
1357,His Majesty O'Keefe,1 hr. 29 min.,Byron Haskin,1954,"Burt Lancaster, Joan Rice, AndrÌ© Morell, Abraham Sofaer, Archie Savage, Benson Fong"
1358,The White Orchid,1 hr. 21 min.,Reginald LeBorg,1954,"William Lundigan, Peggie Castle, Armando Silvestre, Rosenda Monteros, George Trevino, Alejandro de Montene..."
1359,Hardrock,1 hr. 38 min.,Jon Stu,2006,"James Parris, Tom Arlotta, Michael Wright, Raekwon, Chyna Layne, Tara Magalski"
1360,Dark Rising,1 hr. 33 min.,Andrew Cymek,2007,"Landy Cannon, Brigitte Kingsley, Jay Reso, Julia Schneider, Vanessa James, Haley Shannon"
1361,Jackie Chan: The Myth,1 hr. 36 min.,Stanley Tong,2005,"Jackie Chan, Hee-seon Kim, Malika Sherawat, Shao Bing, Jin Song, Min-su Choi"
1362,Day Watch,2 hr. 11 min.,Timur Bekmambetov,2007,"Konstantin Khabenski..., Maria Poroshina, Dima Martynov, Galina Tyunina, Vladimir Menshov, Viktor Verzhbitsky"
1363,Talk to Me,1 hr. 58 min.,Kasi Lemmons,2007,"Don Cheadle, Chiwetel Ejiofor, Benz Antoinee, Cedric the Entertain..., Carolyn Barrett, Taraji P. Henson"
1364,Horrors of War,1 hr. 31 min.,John Whitney,2006,"Jon Osbeck, Joe Lorenzo, Daniel Alan Kiely, C. Alec Rossel, C. Alec Rossell, David Carroll"
1365,Urban Justice (Renegade Justice),1 hr. 36 min.,Don E. FauntLeRoy,2007,"Steven Seagal, Eddie Griffin, Carmen Serano, Cory Hart, Liezl Carstens, Kirk B.R. Woller"
1366,CIA: Exiled,1 hr. 30 min.,Carl Shultz,1993,"George C. Scott, William L. Petersen, Julie Carmen, Philip Anglim, Larry Bucklan, George Kee Cheung"
1367,Mountain of the Cannibal God (La montagna del dio cannibale) (Primitive Desires) (Slave of the Cannibal God),1 hr. 26 min.,Sergio Martino,1978,"Ursula Andress, Stacy Keach, Claudio Cassinelli, Franco Fantasia, Antonio Marsina, Gianfranco Spinola"
1368,Spider-Man 3,2 hr. 19 min.,Sam Raimi,2007,"Tobey Maguire, Kirsten Dunst, James Franco, Thomas Haden Church, Topher Grace, Bryce Dallas Howard"
1369,Close Encounters of the Third Kind,2 hr. 17 min.,Steven Spielberg,1977,"Richard Dreyfuss, Melinda Dillon, Teri Garr, FranÌ¤ois Truffaut, Bob Balaban, J. Patrick McNamara"
1370,Blade of the Phantom Master: Shin Angyo Onshi,1 hr. 30 min.,JÌ«ji Shimura,2004,"Jason Douglas, Nancy Novotny, Daisuke Kishio, Jun Fukushima, Keiji Fujiwara, Mitsuru Miyamoto"
1371,DuckTales: The Movie - Treasure of the Lost Lamp,1 hr. 14 min.,Paul Brizzi,1990,"Alan Young, Russie Taylor, Russi Taylor, Christopher Lloyd, Rip Taylor, Richard Libertini"
1372,Harry Potter and the Order of the Phoenix,2 hr. 18 min.,David Yates,2007,"Daniel Radcliffe, Rupert Grint, Emma Watson, Michael Gambon, Ralph Fiennes, Gary Oldman"
1373,The Death and Life of Bobby Z,1 hr. 37 min.,John Herzfeld,1982,"Paul Walker, Laurence Fishburne, Jason Lewis, Olivia Wilde, Jason Flemyng, Chuck Liddell"
1374,Rescue Dawn,2 hr.,Werner Herzog,2007,"Christian Bale, Steve Zahn, Jeremy Davies, Marshall Bell, Teerawat Mulvilai, Pat Healy"
1375,The Land Before Time XIII: The Wisdom of Friends,1 hr. 16 min.,Charles Grosvenor,2007,"Cuba Gooding Jr., Sandra Oh, Jeff Bennett, Aria Noelle Curzon, John Ingle, Cody Arens"
1376,Ocean's Thirteen,2 hr. 2 min.,Steven Soderbergh,2007,"George Clooney, Brad Pitt, Matt Damon, Bernie Mac, Don Cheadle, Carl Reiner"
1377,Shaan,,Ramesh Sippy,1980,"Parveen Babi, Amitabh Bachchan, Shashi Kapoor, Kulbhushan Kharbanda, Rakhee Gulzar, Shatrughan Sinha"
1378,Live Free or Die Hard,2 hr. 8 min.,Len Wiseman,2007,"Bruce Willis, Timothy Olyphant, Justin Long, Maggie Q, Cliff Curtis, eljko Ivanek"
1379,Johnny Yuma,1 hr. 39 min.,Romolo Guerrieri,1966,"Rosalba Neri, Mark Damon, Lawrence Dobkin, Louis Vanner, Fidel GonzÌÁles, Gustavo D'Arpe"
1380,California,1 hr. 26 min.,Hamil Petroff,1963,"Jock Mahoney, Faith Domergue, Michael Pate, Susan Seaforth Hayes, Rodolfo Hoyos Jr., Penny Santon"
1381,Skinwalkers,1 hr. 50 min.,Jim Isaac,2007,"Elias Koteas, Jason Behr, Kim Coates, Natassia Malthe, Rhona Mitra, David Sparrow"
1382,Lung fu moon (Dragon Tiger Gate),1 hr. 34 min.,Wilson Yip,2006,"Donnie Yen, Nicholas Tse, Shawn Yue, Dong Jie, Li Xiao-ran, Wong Yuk-long"
1383,Hot Rod,1 hr. 27 min.,Akiva Schaffer,2007,"Andy Samberg, Jorma Taccone, Isla Fisher, Bill Hader, Danny McBride, Sissy Spacek"
1384,Missionary Man,1 hr. 33 min.,Dolph Lundgren,2007,"Dolph Lundgren, Matthew Tompkins, John Enos III, August Schellenberg, Brad Imes, Jeff Krebs"
1385,Shira: The Vampire Samurai,1 hr. 26 min.,Jeff Centauri,2005,"James Lew, Andre 'Chyna' McCoy, Adrian Zmed, Lawrence Dwonch, Louis Klein, Edwin Villa"
1386,American Punks,2 hr.,Michele Pacitto,1997,"Mike Passion, Suzanne LaBatt, Oliver Giancola, Bobby Drew, Lonnie Jackson"
1387,Battlestar Galactica,1 hr. 41 min.,Wayne Rose,2007,"Michelle Forbes, Katee Sackhoff, Edward James Olmos, Stephanie Jacobsen, Mary McDonnell, Jamie Bamber"
1388,Erik the Viking,1 hr. 44 min.,Julian Doyle,1989,"Tim Robbins, Gary Cady, Mickey Rooney, Eartha Kitt, Terry Jones, John Cleese"
1389,Fong juk (Exiled),1 hr. 49 min.,Johnnie To,2006,"Simon Yam, Nick Cheung Ka-Fai, Josie Ho, Anthony Wong, Suet Lam, Francis Ng"
1390,Threshold,1 hr. 35 min.,Chuck Bowman,2003,"Nicholas Lea, Jamie Luner, Steve Bacic, David Lipper, Colin Glazer, Karl Pruner"
1391,The Bourne Ultimatum,1 hr. 55 min.,Paul Greengrass,2007,"Matt Damon, Julia Stiles, David Strathairn, Scott Glenn, Paddy Considine, Edgar Ramirez"
1392,Captain Scarface,1 hr. 12 min.,Paul Guilfoyle,1953,"Barton MacLane, Leif Erickson, Leonora Amar, Virginia Grey, Rudolph Anders, Peter Coe"
1393,Pirates of the Caribbean: At Worlds End,2 hr. 49 min.,Gore Verbinski,2007,"Johnny Depp, Geoffrey Rush, Orlando Bloom, Keira Knightley, Jack Davenport, Kevin McNally"
1394,Balls of Fury,1 hr. 30 min.,Robert Ben Garant,2007,"Dan Fogler, Christopher Walken, George Lopez, Maggie Q, James Hong, Terry Crews"
1395,The Last Legion,1 hr. 41 min.,Doug Lefler,2007,"Colin Firth, Ben Kingsley, Aishwarya Rai Bachch..., Peter Mullan, Kevin Mckidd, John Hannah"
1396,Stardust,2 hr. 7 min.,Nicolas Provost,2007,"Charlie Cox, Claire Danes, Michelle Pfeiffer, Robert De Niro, Sienna Miller, Ricky Gervais"
1397,Underdog,1 hr. 20 min.,Frederik Du Chau,2007,"Peter Dinklage, Patrick Warburton, Alex Neuberger, James Belushi, Taylor Momsen, John Slattery"
1398,Maximum Cage Fighting,1 hr. 34 min.,Gerson Sanginitto,2006,"Jason Paul Field, Olivia Briggs, Chris Torres, Kellsi Chischilly, Renzo Gracie, Jun Chong"
1399,Rush Hour 3,1 hr. 30 min.,Brett Ratner,2007,"Jackie Chan, Chris Tucker, Max von Sydow, NoÌ©mie Lenoir, Dana Ivey, Henry O"
1400,Robin-B-Hood,2 hr. 14 min.,Benny Chan,2006,"Jackie Chan, Chen Baoguo, Michael Hui, Matthew Medvedev, Louis Koo, Charlene Choi"
1401,The Kingdom,1 hr. 50 min.,Peter Berg,2007,"Jamie Foxx, Chris Cooper, Jennifer Garner, Jason Bateman, Ashraf Barhom, Ali Suliman"
1402,Nicotina,1 hr. 33 min.,Hugo RodrÌ_guez,2004,"Diego Luna, Marta Belaustegui, Lucas Crespi, JesÌ¼s Ochoa, Rafael InclÌÁn, Rosa Maria Bianchi"
1403,Giants of Rome,1 hr. 27 min.,Antonio Margherita,1964,"Richard Harrison, Ettore Manni, Wandisa Guida, Phillippe Hersant, Phillippe Hersent, Ruth Hudson"
1404,Speed,1 hr. 42 min.,Vikram Bhatt,2007,"Aashish Chaudhary, Aftab Shivdasani, Amrita Arora, Sanjay Suri, Sophiya Chaudhary, Tanushree Dutta"
