Title_A,Time_A,Director_A,Year_A,Cast_A,Title_B,Time_B,Director_B,Year_B,Cast_B,Gold
Kid Cannabis (Watch Now While it's in Theaters)    ,"1 hour, 50 minutes",John Stockwell,2014,"Jonathan Daniel Brown, Kenny Wormald",Kid Cannabis,1 hr. 45 min.,John Stockwell,2014,"Jonathan Brown, Kenny Wormald, Ron Perlman, Aaron Yoo, John C. McGinley, Corey Large",1
The Twilight Saga: Breaking Dawn Part 2    ,"1 hour, 56 minutes",Bill Condon,2013,"Kristen Stewart, Robert Pattinson",The Twilight Saga: Breaking Dawn Part 2,1 hr. 55 min.,Bill Condon,2012,"Kristen Stewart, Robert Pattinson, Taylor Lautner, Peter Facinelli, Elizabeth Reaser, Ashley Greene",1
Southpaw    ,"2 hours, 3 minutes",Antoine Fuqua,2015,"Jake Gyllenhaal, Rachel McAdams",Southpaw,2 hr. 3 min.,Antoine Fuqua,2015,"Jake Gyllenhaal, Forest Whitaker, Rachel McAdams, Naomie Harris, VÌ_ctor OrtÌ_z, 50 Cent",1
Mighty Joe Young , 94 minutes ,Ernest B. Schoedsack,2014,Robert Armstrong,Mighty Joe Young,1 hr. 34 min.,Ernest B. Schoedsack,1949,"Terry Moore, Ben Johnson, Robert Armstrong, Frank McHugh, Mr. Joseph Young, Douglas Fowley",1
Van Helsing [Blu-ray] , 132 minutes ,Stephen Sommers,2009,Hugh Jackman,Van Helsing,2 hr. 25 min.,Stephen Sommers,2004,"Hugh Jackman, Kate Beckinsale, Richard Roxburgh, David Wenham, Shuler Hensley, Will Kemp",1
Dirty Mary Crazy Larry / Race With The Devil (Double Feature) , 185 minutes ,John Hough,2011,Peter Fonda,Dirty Mary Crazy Larry,1 hr. 33 min.,John Hough,1974,"Peter Fonda, Susan George, Adam Roarke, Vic Morrow, Kenneth Tobey, Eugene Daniels",1
Hanna [Blu-ray] , 111 minutes ,Joe Wright,2011,Saoirse Ronan,Hanna,1 hr. 51 min.,Joe Wright,2011,"Saoirse Ronan, Cate Blanchett, Eric Bana, Jason Flemyng, Olivia Williams, Tom Hollander",1
The Lucky One    ,"1 hour, 41 minutes",Scott Hicks,2012,"Zac Efron, Taylor Schilling",The Lucky One,1 hr. 41 min.,Scott Hicks,2012,"Zac Efron, Taylor Schilling, Blythe Danner, Riley Thomas Stewart, Jay R. Ferguson, Adam LeFevre",1
Rush (Blu-ray + DVD + Digital HD UltraViolet) , 246 minutes ,Ron Howard,2014,Daniel Brühl,Rush,2 hr. 3 min.,Ron Howard,2013,"Chris Hemsworth, Olivia Wilde, Alexandra Maria Lara, Pierfrancesco Favino, Stephen Mangan, Christian McKay",1
Lincoln , 150 minutes ,Steven Spielberg,2013,Daniel Day-Lewis,Lincoln,2 hr. 29 min.,Steven Spielberg,2012,"Daniel Day-Lewis, Sally Field, David Strathairn, Tommy Lee Jones, Joseph Gordon-Levitt, James Spader",1
Martin Scorsese Triple Feature (Goodfellas / The Aviator / The Departed) [Blu-ray] , 466 minutes ,Martin Scorsese,2012,Ray Liotta,The Departed,2 hr. 32 min.,Martin Scorsese,2006,"Leonardo DiCaprio, Matt Damon, Jack Nicholson, Mark Wahlberg, Martin Sheen, Ray Winstone",1
Tentacle 8    ,"2 hours, 5 minutes",John Chi,2014,"Brett Rickaby, Amy Motta",Tentacle 8,2 hr. 4 min.,John Chi,2014,"Brett Rickaby, Amy Motta, Joshua Morrow, John Henry Whitaker, Matt Borlenghi, Rocky McMurray",1
The Amazing Spider-Man 2 (3D/Blu-Ray/DVD/UltraViolet Combo Pack) , 141 minutes ,Marc Webb,2014,Andrew Garfield,The Amazing Spider-Man,2 hr. 16 min.,Marc Webb,2012,"Andrew Garfield, Emma Stone, Rhys Ifans, Denis Leary, Martin Sheen, Sally Field",1
Marvel Cinematic Universe: Phase One - Avengers Assembled (Iron Man / The Incredible Hulk / Iron Man 2 / Thor / Captain America: The First Avenger / The Avengers) [Blu-ray] , 143 minutes ,Joe Johnston,2013,Robert Downey Jr.,Captain America: The First Avenger,2 hr. 4 min.,Joe Johnston,2011,"Chris Evans, Tommy Lee Jones, Hugo Weaving, Hayley Atwell, Sebastian Stan, Dominic Cooper",1
47 Ronin, 238 minutes ,Carl Rinsch,2013,Keanu Reeves,47 Ronin,2 hr. 7 min.,Carl Rinsch,2013,"Keanu Reeves, Hiroyuki Sanada, Kou Shibasaki, Tadanobu Asano, Min Tanaka, Jin Akanishi",1
The Incredible Hulk (Widescreen Edition) , 113 minutes ,Louis Leterrier,2008,Edward Norton,The Incredible Hulk,1 hr. 52 min.,Louis Leterrier,2008,"Edward Norton, Liv Tyler, Tim Roth, William Hurt, Tim Blake Nelson, Ty Burrell",1
R.I.P.D.    ,"1 hour, 37 minutes",Robert Schwentke,2013,"Jeff Bridges, Ryan Reynolds",R.I.P.D.,1 hr. 36 min.,Robert Schwentke,2013,"Ryan Reynolds, Jeff Bridges, Kevin Bacon, Mary-Louise Parker, Stephanie Szostak, James Hong",1
Miami Connection (+ Digital Copy) [Blu-ray] , 87 minutes ,Y.K. Kim,2012,Y.K. Kim,Miami Connection,2 hr.,Y.K. Kim,2012,"Y.K. Kim, Vincent Hirsch, Angelo Janotti, Joseph Diamand, Maurice Smith, Kathy Collier",1
Snakes on a Plane    ,"1 hour, 46 minutes",David R. Ellis,2006,"Samuel L. Jackson, Julianna Margulies",Snakes on a Plane,1 hr. 46 min.,David R. Ellis,2006,"Samuel L. Jackson, Julianna Margulies, Nathan Phillips, Rachel Blanchard, Bobby Cannavale, Flex Alexander",1
Battle of the Bulge , 170 minutes ,Ken Annakin,2007,Henry Fonda,Battle of the Bulge,1 hr. 30 min.,Ken Annakin,1998,"Henry Fonda, Robert Shaw, Robert Ryan, Dana Andrews, George Montgomery, Ty Hardin",1
Skin Trade    ,"1 hour, 36 minutes",Ekachai Uekrongtham,2015,"Dolph Lundgren, Tony Jaa",Skin Trade,1 hr. 36 min.,Ekachai Uekrongtham,2015,"Dolph Lundgren, Tony Jaa, Ron Perlman, Michael Jai White, Celina Jade, Peter Weller",1
The Monuments Men    ,"1 hour, 59 minutes",George Clooney,2014,"George Clooney, Matt Damon",The Monuments Men,1 hr. 58 min.,George Clooney,2014,"George Clooney, Matt Damon, Bill Murray, John Goodman, Jean Dujardin, Bob Balaban",1
Ip Man: The Final Fight [Blu-ray] , 101 minutes ,Herman Yau,2013,Anthony Wong,Ip Man: The Final Fight,1 hr. 42 min.,Herman Yau,2013,"Anthony Wong, Eric Tsang, Gillian Chung, Marvel Chow, Xin Xin Xiong, Ip Chun",1
Salt    ,"1 hour, 40 minutes",Phillip Noyce,2010,"Angelina Jolie, Liev Schreiber",Salt,1 hr. 40 min.,Phillip Noyce,2010,"Angelina Jolie, Liev Schreiber, Chiwetel Ejiofor, Daniel Olbrychski, August Diehl, Daniel Pearce",1
Star Trek (2009)    ,"2 hours, 7 minutes",J.J. Abrams,2009,"Chris Pine, Zachary Quinto",Star Trek,2 hr. 7 min.,J.J. Abrams,2009,"Chris Pine, Zachary Quinto, Leonard Nimoy, Karl Urban, Ben Cross, Eric Bana",1
Thor    ,"1 hour, 55 minutes",Kenneth Branagh,2011,"Chris Hemsworth, Natalie Portman",Thor,1 hr. 55 min.,Kenneth Branagh,2011,"Chris Hemsworth, Natalie Portman, Anthony Hopkins, Tom Hiddleston, Stellan Skarsgard, Kat Dennings",1
Blackthorn , 102 minutes ,Mateo Gil,2011,Sam Shepard,Blackthorn,1 hr. 38 min.,Mateo Gil,2011,"Sam Shepard, Eduardo Noriega, Stephen Rea, Magaly Solier, Nikolaj Coster-Walda..., Padraic Delaney",1
The World's Fastest Indian , 127 minutes ,Roger Donaldson,2006,Anthony Hopkins,The World's Fastest Indian,2 hr. 7 min.,Roger Donaldson,2005,"Anthony Hopkins, Jessica Cauffiel, Saginaw Grant, Diane Ladd, Christopher Lawford, Juliana Bellinger",1
Call Me Mrs. Miracle , 88 minutes ,Michael Scott,2011,Jewel Staite,Call Me Mrs. Miracle,1 hr. 28 min.,Michael Scott,2010,"Doris Roberts, Jewel Staite, Eric Johnson, Lauren Holly, Quinn Lord, Tom Butler",1
The Adventurer: The Curse of the Midas Box    ,"1 hour, 40 minutes",Jonathan Newman,2014,"Michael Sheen, Lena Headey",The Adventurer: The Curse of the Midas Box,1 hr. 38 min.,Jonathan Newman,2014,"Michael Sheen, Lena Headey, Keeley Hawes, Ioan Gruffudd, Aneurin Barnard, Sam Neill",1
Oblivion    ,"2 hours, 5 minutes",Joseph Kosinski,2013,"Tom Cruise, Morgan Freeman",Oblivion,2 hr. 5 min.,Joseph Kosinski,2013,"Tom Cruise, Olga Kurylenko, Morgan Freeman, Andrea Riseborough, Nikolaj Coster-Walda..., Melissa Leo",1
The Alamo (Widescreen) , 137 minutes ,John Lee Hancock,2004,Dennis Quaid,The Alamo,2 hr. 17 min.,John Lee Hancock,2004,"Dennis Quaid, Billy Bob Thornton, Jason Patric, Patrick Wilson, Emilio EchevarrÌ_a, Jordi Molla",1
Domino    ,"2 hours, 8 minutes",Tony Scott,2005,"Keira Knightley, Mickey Rourke",Domino,2 hr. 8 min.,Tony Scott,2005,"Keira Knightley, Mickey Rourke, Edgar Ramirez, Rizwan Abbasi, Delroy Lindo, Mo'Nique",1
Mutant Chronicles    ,"1 hour, 52 minutes",Simon Hunter,2009,"Thomas Jane, Ron Perlman",Mutant Chronicles,1 hr. 51 min.,Simon Hunter,2008,"Thomas Jane, Ron Perlman, John Malkovich, Anna Walton, Devon Aoki, Benno FÌ_rmann",1
Shottas , 99 minutes ,Cess Silvera,2007,Ky-Mani Marley,Shottas,1 hr. 35 min.,Cess Silvera,2006,"Ky-Mani Marley, Paul Campbell, Spragga Benz, Tyson Beckford, Wyclef Jean, Louie Rankin",1
The Hunger Games: Catching Fire    ,"2 hours, 26 minutes",Francis Lawrence,2013,"Jennifer Lawrence, Liam Hemsworth",The Hunger Games: Catching Fire,2 hr. 26 min.,Francis Lawrence,2013,"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth, Woody Harrelson, Donald Sutherland, Philip Seymour Hoffm...",1
The Divergent Series: Insurgent (Plus Bonus Features)    ,"2 hours, 19 minutes",Robert Schwentke,2015,"Shailene Woodley,Theo James",Insurgent,1 hr. 59 min.,Robert Schwentke,2015,"Shailene Woodley, Theo James, Daniel Dae Kim, Jonny Weston, Suki Waterhouse, Jai Courtney",1
47 Ronin (Blu-ray + DVD + Digital HD with UltraViolet) , 238 minutes ,Carl Rinsch,2014,Keanu Reeves,47 Ronin,2 hr. 7 min.,Carl Rinsch,2013,"Keanu Reeves, Hiroyuki Sanada, Kou Shibasaki, Tadanobu Asano, Min Tanaka, Jin Akanishi",1
Sherlock Holmes , 1 minutes ,Guy Ritchie,2010,Robert Downey Jr.,Sherlock Holmes,2 hr. 9 min.,Guy Ritchie,2009,"Robert Downey Jr., Jude Law, Rachel McAdams, Mark Strong (II), Eddie Marsan, Robert Maillet",1
Star Trek Into Darkness    ,"2 hours, 13 minutes",J.J. Abrams,2013,"Chris Pine, Zachary Quinto",Star Trek,2 hr. 7 min.,J.J. Abrams,2009,"Chris Pine, Zachary Quinto, Leonard Nimoy, Karl Urban, Ben Cross, Eric Bana",1
Domino  [Blu-ray] , 127 minutes ,Tony Scott,2009,Keira Knightley,Domino,2 hr. 8 min.,Tony Scott,2005,"Keira Knightley, Mickey Rourke, Edgar Ramirez, Rizwan Abbasi, Delroy Lindo, Mo'Nique",1
Gone Girl    ,"2 hours, 29 minutes",David Fincher,2014,"Ben Affleck, Rosamund Pike",Gone Girl,2 hr. 25 min.,David Fincher,2014,"Ben Affleck, Rosamund Pike, Tyler Perry, Neil Patrick Harris, David Clennon, Carrie Coon",1
Fanboys [Blu-ray] , 90 minutes ,Kyle Newman,2010,Dan Fogler,Fanboys,1 hr. 30 min.,Kyle Newman,2008,"Sam Huntington, Christopher George M..., Jay Baruchel, Dan Fogler, Kristen Bell, Billy Dee Williams",1
The Mortal Instruments: City of Bones  (+UltraViolet Digital Copy) , 130 minutes ,Harald Zwart,2013,Lily Collins,The Mortal Instruments: City of Bones,2 hr. 10 min.,Harald Zwart,2013,"Lily Collins, Kevin Durand, Lena Headey, Jonathan Rhys Meyers, Jamie Campbell Bower, Robert Sheehan",1
Transformers    ,"2 hours, 24 minutes",Michael Bay,2007,"Shia LaBeouf, Megan Fox",Transformers,2 hr. 23 min.,Michael Bay,2007,"Shia LaBeouf, Megan Fox, Josh Duhamel, Tyrese Gibson, Rachael Taylor, Anthony Anderson",1
Lost Everything    ,"1 hour, 38 minutes",Kim St. Leon,2013,"Henry Dittman, Karin Kelts",Lost Everything,1 hr. 37 min.,Kim St. Leon,2010,"Henry Dittman, Mark Whittington, Kyle Lupo, Leif Holt, Karin Slater, Raphael Sanchez",1
Father Goose    ,"1 hour, 57 minutes",Ralph Nelson,1964,"Cary Grant, Leslie Caron",Father Goose,1 hr. 56 min.,Ralph Nelson,1964,"Cary Grant, Leslie Caron, Trevor Howard, Jack Good, Verina Greenlaw, Pip Sparke",1
A Most Violent Year    ,"2 hours, 5 minutes",J.C. Chandor,2014,"Oscar Isaac, Elyes Gabel",A Most Violent Year,2 hr. 5 min.,J.C. Chandor,2015,"Oscar Isaac, Jessica Chastain, David Oyelowo, Albert Brooks, Alessandro Nivola, Elyes Gabel",1
Inside Llewyn Davis [Blu-ray] , 104 minutes ,Ethan Coen,1916,Oscar Isaac,Inside Llewyn Davis,1 hr. 45 min.,Ethan Coen,2013,"Oscar Isaac, Carey Mulligan, John Goodman, Garrett Hedlund, Justin Timberlake, F Murray Abraham",1
Mission: Impossible Ghost Protocol Special Feature - Soaring In Dubai    ,3 minutes,Brad Bird,2011,"Brad Bird, Tom Cruise",Mission: Impossible Ghost Protocol,2 hr. 12 min.,Brad Bird,2011,"Tom Cruise, Jeremy Renner, Simon Pegg, Paula Patton, Michael Nyqvist, Vladimir Mashkov",1
Sherlock Holmes: A Game of Shadows , 129 minutes ,Guy Ritchie,2012,Robert Downey Jr.,Sherlock Holmes: A Game of Shadows,2 hr. 8 min.,Guy Ritchie,2011,"Robert Downey Jr., Jude Law, Noomi Rapace, Rachel McAdams, Jared Harris, Stephen Fry",1
Fort McCoy    ,"1 hour, 42 minutes",Kate Connor,2014,"Eric Stoltz, Kate Connor",Fort McCoy,1 hr. 41 min.,Kate Connor,2014,"Eric Stoltz, Kate Connor, Lyndsy Fonseca, Andy Hirsch, Camryn Manheim, Brendan Fehr",1
Batman Begins [Blu-ray] , 140 minutes ,Christopher Nolan,2008,Christian Bale,Batman Begins,2 hr. 20 min.,Christopher Nolan,2005,"Christian Bale, Michael Caine, Liam Neeson, Katie Holmes, Gary Oldman, Cillian Murphy",1
Captain Blood    ,"2 hours, 0 minutes",Michael Curtiz,1935,"Errol Flynn, Olivia de Havilland",Captain Blood,1 hr. 59 min.,Michael Curtiz,1935,"Errol Flynn, Olivia de Havilland, Basil Rathbone, Lionel Atwill, Guy Kibbee, George Hassell",1
Flight    ,"2 hours, 19 minutes",Robert Zemeckis,2012,"Nadine Velazquez, Denzel Washington",Flight,2 hr. 18 min.,Robert Zemeckis,2012,"Don Cheadle, Denzel Washington, Kelly Reilly, John Goodman, Brian Geraghty, Bruce Greenwood",1
Kill Bill: Volume 2 , 137 minutes ,Quentin Tarantino,2011,Uma Thurman,Kill Bill: Volume 2,2 hr. 17 min.,Quentin Tarantino,2004,"Uma Thurman, David Carradine, Michael Madsen, Daryl Hannah, Gordon Liu, Chia Hui Liu",1
42,"2 hours, 9 minutes",Brian Helgeland,2013,"Chadwick Boseman, Harrison Ford",42,2 hr. 8 min.,Brian Helgeland,2013,"Chadwick Boseman, Harrison Ford, Nicole Beharie, Christopher Meloni, Ryan Merriman, Lucas Black",1
Magic Mike    ,"1 hour, 51 minutes",Steven Soderbergh,2012,"Matthew McConaughey, Channing Tatum",Magic Mike,1 hr. 50 min.,Steven Soderbergh,2012,"Channing Tatum, Alex Pettyfer, Matt Bomer, Joe Manganiello, Matthew McConaughey, Cody Horn",1
Poseidon (2006)    ,"1 hour, 39 minutes",Wolfgang Petersen,2006,"Josh Lucas, Kurt Russell",Poseidon,1 hr. 39 min.,Wolfgang Petersen,2006,"Kurt Russell, Josh Lucas, Richard Dreyfuss, Andre Braugher, Mia Maestro, Jacinda Barrett",1
A History of Violence (New Line Platinum Series) [DVD] , 98 minutes ,David Cronenberg,2006,Viggo Mortensen,A History of Violence,1 hr. 36 min.,David Cronenberg,2005,"Viggo Mortensen, Maria Bello, Ed Harris, William Hurt, Ashton Holmes, Peter MacNeill",1
The Caine Mutiny [Blu-ray] , 124 minutes ,Edward Dmytryk,2011,E.G. Marshall,The Caine Mutiny,2 hr. 4 min.,Edward Dmytryk,1954,"Humphrey Bogart, Fred MacMurray, Van Johnson, Robert Francis, May Wynn, Tom Tully",1
Furious 7    ,"2 hours, 18 minutes",James Wan,2015,"Vin Diesel, Paul Walker",Furious 7,2 hr. 20 min.,James Wan,2015,"Vin Diesel, Paul Walker, Jason Statham, Dwayne ""The Rock"" Jo..., Tony Jaa, Michelle Rodriguez",1
Priest (Unrated Version) [Blu-ray] , 87 minutes ,Scott Stewart,2011,Paul Bettany,Priest,1 hr. 23 min.,Scott Stewart,2011,"Paul Bettany, Maggie Q, Cam Gigandet, Lily Collins, Karl Urban, Christopher Plummer",1
300: Rise of an Empire (Blu-ray+DVD+UltraViolet Combo Pack) , 102 minutes ,Noam Murro,2014,Eva Green,300: Rise of an Empire,1 hr. 43 min.,Noam Murro,2014,"Sullivan Stapleton, Eva Green, Lena Headey, Hans Matheson, Rodrigo Santoro, David Wenham",1
The Salvation    ,"1 hour, 33 minutes",Kristian Levring,2015,"Mads Mikkelsen, Eva Green",The Salvation,1 hr. 40 min.,Kristian Levring,2015,"Mads Mikkelsen, Eva Green, Jeffrey Dean Morgan, Mikael Persbrandt, Michael Raymond-Jame..., Alexander Arnold",1
Robin Hood    ,"2 hours, 21 minutes",Ridley Scott,2010,"Russell Crowe, Cate Blanchett",Robin Hood,2 hr. 28 min.,Ridley Scott,2010,"Russell Crowe, Cate Blanchett, Max von Sydow, William Hurt, Mark Strong (II), Oscar Isaac",1
District 9    ,"1 hour, 53 minutes",Neill Blomkamp,2009,"Sharlto Copley, Jason Cope",District 9,1 hr. 52 min.,Neill Blomkamp,2009,"Sharlto Copley, David James, Vanessa Haywood, Mandla Gaduka, Kenneth Nkosi, Devlin Brown",1
Raze , 95 minutes ,Josh C. Waller,2014,Zoë Bell,Raze,1 hr. 27 min.,Josh C. Waller,2014,"Zoe Bell, Rachel Nichols, Rebecca Marshall, Tracie Thoms, Bailey Anne Borders, Allene Quincy",1
Master and Commander: The Far Side of the World [Blu-ray] , 138 minutes ,Peter Weir,2008,Russell Crowe,Master and Commander: The Far Side of the World,2 hr. 17 min.,Peter Weir,2003,"Russell Crowe, Paul Bettany, James D'Arcy, Edward Woodall, Max Pirkis, Jack Randall",1
Terminator Salvation    ,"1 hour, 55 minutes",McG,2009,"Christian Bale, Sam Worthington",Terminator Salvation,1 hr. 55 min.,McG,2009,"Christian Bale, Sam Worthington, Anton Yelchin, Moon Bloodgood, Helena Bonham Carter, Moon Goodblood",1
Dean Teaster's Ghost Town    ,"1 hour, 56 minutes",Jeff Kennedy,2008,"Herbert 'Cowboy' Coward, Bill McKinney",Dean Teaster's Ghost Town,1 hr. 55 min.,Jeff Kennedy,2007,"Herbert 'Cowboy' Cow..., Bill McKinney, Herbert Coward, DJ Perry, Rance Howard, RenÌ©e O'Connor",1
Thor    ,"1 hour, 55 minutes",Kenneth Branagh,2011,"Chris Hemsworth, Natalie Portman",Thor,1 hr. 55 min.,Kenneth Branagh,2011,"Chris Hemsworth, Natalie Portman, Anthony Hopkins, Tom Hiddleston, Stellan Skarsgard, Kat Dennings",1
Furious 7 (Extended Edition)    ,"2 hours, 21 minutes",James Wan,2015,"Vin Diesel, Paul Walker",Furious 7,2 hr. 20 min.,James Wan,2015,"Vin Diesel, Paul Walker, Jason Statham, Dwayne ""The Rock"" Jo..., Tony Jaa, Michelle Rodriguez",1
The Judge (2014)   ,"2 hours, 22 minutes",David Dobkin,2014,"Robert Downey Jr., Robert Duvall",The Judge,2 hr. 22 min.,David Dobkin,2014,"Robert Downey Jr., Robert Duvall, Vera Farmiga, Vincent D'Onofrio, Billy Bob Thornton, Leighton Meester",1
Boyhood    ,"2 hours, 46 minutes",Richard Linklater,2014,"Ellar Coltrane, Patricia Arquette",Boyhood,2 hr. 45 min.,Richard Linklater,2014,"Ellar Coltrane, Patricia Arquette, Ethan Hawke, Lorelei Linklater, Elijah Smith, Steven Prince",1
Selma    ,"2 hours, 9 minutes",Ava DuVernay,2014,"David Oyelowo, Carmen Ejogo",Selma,2 hr. 7 min.,Ava DuVernay,2015,"David Oyelowo, Carmen Ejogo, Tom Wilkinson, Cuba Gooding Jr., Alessandro Nivola, Giovanni Ribisi",1
Her    ,"2 hours, 6 minutes",Spike Jonze,2013,"Joaquin Phoenix, Lynn Adrianna Freedman",Her,2 hr. 6 min.,Spike Jonze,2013,"Joaquin Phoenix, Amy Adams, Scarlett Johansson, Rooney Mara, Chris Pratt, Olivia Wilde",1
Magic Mike (DVD) , 110 minutes ,Steven Soderbergh,2012,Channing Tatum,Magic Mike,1 hr. 50 min.,Steven Soderbergh,2012,"Channing Tatum, Alex Pettyfer, Matt Bomer, Joe Manganiello, Matthew McConaughey, Cody Horn",1
The Guardian    ,"2 hours, 20 minutes",Andrew Davis,2006,"Kevin Costner, Ashton Kutcher",The Guardian,15 min.,Andrew Davis,2006,"Kevin Costner, Ashton Kutcher, Sela Ward, Melissa Sagemiller, John Heard, Clancy Brown",1
Oldboy, 104 minutes ,Spike Lee,2013,Josh Brolin,Oldboy,1 hr. 44 min.,Spike Lee,2013,"Josh Brolin, Elizabeth Olsen, Sharlto Copley, James Ransone, Samuel L. Jackson, Michael Imperioli",1
A Walk Among the Tombstones , 114 minutes ,Scott Frank,2015,Liam Neeson,A Walk Among the Tombstones,1 hr. 54 min.,Scott Frank,2014,"Liam Neeson, Dan Stevens (IV), David Harbour, Robert Boyd Holbrook, Patrick F. McDade, Luciano Acuna, Jr.,65,54,Frank's film is much more of a noir outing than a straight action feature",1
Transformers: Revenge of the Fallen    ,"2 hours, 30 minutes",Michael Bay,2009,"Shia LaBeouf, Megan Fox",Transformers: Revenge of the Fallen,2 hr. 29 min.,Michael Bay,2009,"Shia LaBeouf, Megan Fox, Josh Duhamel, Tyrese Gibson, John Turturro, Kevin Dunn",1
9th Company , 134 minutes ,Fyodor Bondarchuk,2010,Alexei Chadov,The 9th Company (9 rota),2 hr. 19 min.,Fyodor Bondarchuk,2005,"Aleksey Chadov, Artur Smolyaninov, Mikhail Porechenkov, Konstantin Kryukov, Artyom Mikhalkov, Irina Rakhmanova",1
Godzilla Vs Mechagodzilla II , 106 minutes ,Takao Okawara,2005,Masahiro Takashima,Godzilla Vs Mechagodzilla II (Gojira VS Mekagojira),1 hr. 46 min.,Takao Okawara,1993,"Masahiro Takashima, Megumi Odaka, Ryoko Sano",1
Up Periscope    ,"1 hour, 52 minutes",Gordon Douglas,1959,"James Garner, Edmond O'Brien",Up Periscope,1 hr. 51 min.,Gordon Douglas,1959,"Edmond O'Brien, James Garner, Andra Martin, Alan Hale Jr., Carleton Carpenter, Frank Gifford",1
Darling Companion , 104 minutes ,Lawrence Kasdan,2012,Kevin Kline,Darling Companion,1 hr. 43 min.,Lawrence Kasdan,2012,"Diane Keaton, Kevin Kline, Richard Jenkins, Zach Phifer, Dianne Wiest, Sam Shepard",1
300: Rise of an Empire (2014)   ,"1 hour, 43 minutes",Noam Murro,2014,"Sullivan Stapleton, Eva Green",300: Rise of an Empire,1 hr. 43 min.,Noam Murro,2014,"Sullivan Stapleton, Eva Green, Lena Headey, Hans Matheson, Rodrigo Santoro, David Wenham",1
50 to 1 , 111 minutes ,Jim Wilson,2015,Skeet Ulrich,50 to 1,1 hr. 50 min.,Jim Wilson,2014,"Skeet Ulrich, Christian Kane, William Devane, Madelyn Deutch, Todd Lowe, Calvin Borel",1
The Bourne Ultimatum (Steelbook) (Blu-ray + DVD + DIGITAL with UltraViolet) , 232 minutes ,Paul Greengrass,2014,Matt Damon,The Bourne Ultimatum,1 hr. 55 min.,Paul Greengrass,2007,"Matt Damon, Julia Stiles, David Strathairn, Scott Glenn, Paddy Considine, Edgar Ramirez",1
Man of Tai Chi, 105 minutes ,Keanu Reeves,2013,Keanu Reeves,Man of Tai Chi,1 hr. 45 min.,Keanu Reeves,2013,"Keanu Reeves, Tiger Hu Chen, Karen Mok, Iko Uwais, Simon Yam, Simon Yam-Wong",1
The Fault In Our Stars , 126 minutes ,Josh Boone,2014,Shailene Woodley,The Fault In Our Stars,2 hr. 5 min.,Josh Boone,2014,"Shailene Woodley, Ansel Elgort, Lotte Verbeek, Laura Dern, Willem Dafoe, Nat Wolff",1
Big Eyes , 109 minutes ,Tim Burton,2015,Amy Adams,Big Eyes,1 hr. 46 min.,Tim Burton,2014,"Amy Adams, Christoph Waltz, Danny Huston, Krysten Ritter, Jason Schwartzman, Terence Stamp",1
My Old Lady    ,"1 hour, 48 minutes",Israel Horovitz,2014,"Kevin Kline, Michael Burstin",My Old Lady,1 hr. 47 min.,Israel Horovitz,2014,"Kevin Kline, Kristin Scott Thomas, Maggie Smith, Elie Wajeman, Kristin Scott-Thomas..., RaphaÌÇle Moutier",1
Kingdom of Heaven (Director's Cut) [Blu-ray] , 194 minutes ,Ridley Scott,2006,Orlando Bloom,Kingdom of Heaven,2 hr. 25 min.,Ridley Scott,2005,"Orlando Bloom, Liam Neeson, Eva Green, David Thewlis, Jeremy Irons, Edward Norton",1
