Title_A,Authors_A,Venue_A,Year_A,Title_B,Authors_B,Venue_B,Year_B,Gold
An XML query engine for network-bound data,"ZG Ives, AY Halevy, DS Weld","The VLDB Journal The International Journal on Very Large  &hellip;,",2002.0,An XML query engine for network-bound data,"Z Ives, A Halevy, D Weld",VLDB J.,2002,1
DOMINO: Databases fOr MovINg Objects tracking,"OWP Sistla, BXJZS Chamberlain",,,DOMINO: Databases fOr MovINg Objects tracking,"O Wolfson, A Sistla, B Xu, J Zhou, S Chamberlain",SIGMOD Conference,1999,1
Spatial Data Management for Computer Aided Design,"HP Kriegel, A Mueller, M Poetke, T Seidl",,,Spatial Data Management for Computer Aided Design,"H Kriegel, A Mќller, M Pіtke, T Seidl",SIGMOD Conference,2001,1
An Array-Based Algorithm for Simultaneous Multidimensional Aggregates,"Y Zhao, PM Deshpande, JF Naughton","SIGMOD Conference,",1997.0,An Array-Based Algorithm for Simultaneous Multidimensional Aggregates,"Y Zhao, P Deshpande, J Naughton",SIGMOD Conference,1997,1
A Conceptual Architecture for Semantic Web Enabled Web Services,"C Bussler, D Fensel, A Maedche","SIGMOD Record,",2002.0,A Conceptual Architecture for Semantic Web Enabled Web Services,"C Bussler, D Fensel, A Maedche",SIGMOD Record,2002,1
Continuous Nearest Neighbor Search,"Y Tao, D Papadias, Q Shen","VLDB,",2002.0,Continuous Nearest Neighbor Search,"Y Tao, D Papadias, Q Shen",VLDB,2002,1
A Data Transformation System for Biological Data Sources,"P Buneman, SB Davidson, K Hart, C Overton, L Wong","VLDB,",1995.0,A Data Transformation System for Biological Data Sources,"P Buneman, S Davidson, K Hart, G Overton, L Wong",VLDB,1995,1
Gigascope: A Stream Database for Network Applications,"CD Cranor, T Johnson, V Shkapenyuk","SIGMOD Conference,",2003.0,Gigascope: A Stream Database for Network Applications,"C Cranor, T Johnson, O Spatscheck, V Shkapenyuk",SIGMOD Conference,2003,1
Architectures for Internal Web Services Deployment,O Shmueli,"PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",2001.0,Architectures for Internal Web Services Deployment,O Shmueli,VLDB,2001,1
Data page layouts for relational databases on deep memory hierarchies,"A Ailamaki, DJ DeWitt, MD Hill","The VLDB Journal The International Journal on Very Large  &hellip;,",2002.0,Data page layouts for relational databases on deep memory hierarchies,"A Ailamaki, D DeWitt, M Hill",VLDB J.,2002,1
Digital Library Services in Mobile Computing,"B Bhargava, M Annamalai, E Pitoura","SIGMOD Record,",1995.0,Digital Library Services in Mobile Computing,"B Bhargava, M Annamalai, E Pitoura",SIGMOD Record,1995,1
An Early Look at XQuery,"A Eisenberg, J Melton","SIGMOD Record,",2002.0,An Early Look at XQuery,"J Melton, A Eisenberg",SIGMOD Record,2002,1
On Computing Correlated Aggregates Over Continual Data Streams,"J Gehrke, F Korn, D Srivastava","SIGMOD Conference,",2001.0,On Computing Correlated Aggregates Over Continual Data Streams,"J Gehrke, F Korn, D Srivastava",SIGMOD Conference,2001,1
PLASTIC: Reducing Query Optimization Overheads through Plan Recycling,"VS Sengar, JR Haritsa","SIGMOD Conference,",2003.0,PLASTIC: Reducing Query Optimization Overheads through Plan Recycling,"V Sengar, J Haritsa",SIGMOD Conference,2003,1
Aggregate Maintenance for Data Warehousing in Informix Red Brick Vista,"CJ Bunker, LS Colby, RL Cole, WJ McKenna, G  ","&hellip;  International Conference on Very Large Data Bases table of  &hellip;,",2001.0,Aggregate Maintenance for Data Warehousing in Informix Red Brick Vista,"C Bunker, L Colby, R Cole, W McKenna, G Mulagund, D Wilhite",VLDB,2001,1
"Developing a High Traffic, Read-Only Web Site","J Nauman, R Suorsa",,,"Developing a High Traffic, Read-Only Web Site","J Nauman, R Suorsa",SIGMOD Conference,1998,1
To Weave the Web,"PAG Mecca, P Merialdo",Proceedings of the International Conference on Very Large ,,To Weave the Web,"P Atzeni, G Mecca, P Merialdo",VLDB,1997,1
Architectures for Internal Web Services Deployment,S Oded,,2001.0,Architectures for Internal Web Services Deployment,O Shmueli,VLDB,2001,1
Efficient Testing of High Performance Transaction Processing Systems,"D Wildfogel, R Yerneni","PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",1997.0,Efficient Testing of High Performance Transaction Processing Systems,"D Wildfogel, R Yerneni",VLDB,1997,1
Demonstration: Enabling Scalable Online Personalization on the Web,K Dutta,"PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",2000.0,Demonstration: Enabling Scalable Online Personalization on the Web,"K Dutta, A Datta, D VanderMeer, K Ramamritham, H Thomas",VLDB,2000,1
Editor's Notes,JA Neff,Journal of Emergency,,Editor's Notes,M Franklin,SIGMOD Record,1997,1
Generalizing GlOSS to Vector-Space Databases and Broker Hierarchies,"L Gravano, H Garcia-Molina","VLDB,",1995.0,Generalizing GlOSS to Vector-Space Databases and Broker Hierarchies,"L Gravano, H Garcia-Molina",VLDB,1995,1
Implementing Data Cubes Efficiently,"V Harinarayan, A Rajaraman, JD Ullman","SIGMOD Conference,",1996.0,Implementing Data Cubes Efficiently,"V Harinarayan, A Rajaraman, J Ullman",SIGMOD Conference,1996,1
An Adaptive Hybrid Server Architecture for Client Caching ODBMSs,"K Voruganti, MT Ã?zsu, RC Unrau","Proceedings of the 25th International Conference on Very  &hellip;,",1999.0,An Adaptive Hybrid Server Architecture for Client Caching ODBMSs,"K Voruganti, M жzsu, R Unrau",VLDB,1999,1
Data Integration and Warehousing in Telecom Italia,S Trisolini,"SIGMOD Conference,",1999.0,Data Integration and Warehousing in Telecom Italia,"S Trisolini, M Lenzerini, D Nardi",SIGMOD Conference,1999,1
Two Techniques for On-Line Index Modification in Shared Nothing Parallel Databases,"KJ Achyutuni, E Omiecinski, SB Navathe","SIGMOD Conference,",1996.0,Two Techniques for On-Line Index Modification in Shared Nothing Parallel Databases,"K Achyutuni, E Omiecinski, S Navathe",SIGMOD Conference,1996,1
The Complexity of Transformation-Based Join Enumeration,"A Pellenkoft1T2, CA Galindo-Legaria, M Kersten",,,The Complexity of Transformation-Based Join Enumeration,"A Pellenkoft, C Galindo-Legaria, M Kersten",VLDB,1997,1
Discovering Web Services: An Overview,V Draluk,"Proceedings of the 27th International Conference on Very  &hellip;,",2001.0,Discovering Web Services: An Overview,V Draluk,VLDB,2001,1
Memory-Contention Responsive Hash Joins,"DL Davison, G Graefe","PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",1994.0,Memory-Contention Responsive Hash Joins,"D Davison, G Graefe",VLDB,1994,1
SPIRIT: Sequential Pattern Mining with Regular Expression Constraints,"M Garofalakis, R Rastogi, K Shim","VLDB,",1999.0,SPIRIT: Sequential Pattern Mining with Regular Expression Constraints,"M Garofalakis, R Rastogi, K Shim",VLDB,1999,1
Multi-Step Processing of Spatial Joins,"T Brinkhoff, HP Kriegel, R Schneider, B Seeger",,,Multi-Step Processing of Spatial Joins,"T Brinkhoff, H Kriegel, R Schneider, B Seeger",SIGMOD Conference,1994,1
Optimizing object queries using an effective calculus,"L Fegaras, D Maier","ACM Transactions on Database Systems,",2000.0,Optimizing object queries using an effective calculus,"L Fegaras, D Maier",ACM Trans. Database Syst.,2000,1
Linking Business to Deliver Value: A Data Management Challenge,A Deshpande,"PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",2000.0,Linking Business to Deliver Value: A Data Management Challenge,A Deshpande,VLDB,2000,1
Evaluating Top-k Selection Queries,"L Gravano, S Chaudhuri","Proceedingsof VLDB,",,Evaluating Top-k Selection Queries,"S Chaudhuri, L Gravano",VLDB,1999,1
Advances in Real-Time Database Systems Research,"SIGMOD Record, 1996","SIGMOD Record,",1996.0,Advances in Real-Time Database Systems Research,A Bestavros,SIGMOD Record,1996,1
Efficient Structural Joins on Indexed XML Documents,"SY Chein, Z Vagena, D Zhang, VJ Tsotras, C Zanilo",,2002.0,Efficient Structural Joins on Indexed XML Documents,"S Chien, Z Vagena, D Zhang, V Tsotras, C Zaniolo",VLDB,2002,1
Towards Event-Driven Modelling for Database Design,"M Teisseirdl, P PonceleW, R CicchettW",,,Towards Event-Driven Modelling for Database Design,"M Teisseire, P Poncelet, R Cicchetti",VLDB,1994,1
Nearest Neighbor Queries,"N Rossopoulos, S Kelly, F Vincent","Proc. of ACM-SIGMOD,",,Nearest Neighbor Queries,"N Roussopoulos, S Kelley, F Vincent",SIGMOD Conference,1995,1
Intelligent Rollups in Multidimensional OLAP Data,"G Sathe, S Sarawagi","VLDB,",2001.0,Intelligent Rollups in Multidimensional OLAP Data,"G Sathe, S Sarawagi",VLDB,2001,1
On XML and Databases: Where's the Beef? (Panel Abstract),MJ Carey,,,On XML and Databases: Where's the Beef? (Panel Abstract),M Carey,SIGMOD Conference,2000,1
VOODB: A Generic Discrete-Event Random Simulation Model To Evaluate the Performances of OODBs,"J Darmont, M Schneider","Proceedings of the 25th International Conference on Very  &hellip;,",1999.0,VOODB: A Generic Discrete-Event Random Simulation Model To Evaluate the Performances of OODBs,"J Darmont, M Schneider",VLDB,1999,1
Path Queries on Compressed XML,PBMGC Koch,,2003.0,Path Queries on Compressed XML,"P Buneman, M Grohe, C Koch",VLDB,2003,1
SMART: Making DB2 (More) Autonomic,"GM Lohman, S Lightstone","VLDB,",2002.0,SMART: Making DB2 (More) Autonomic,"G Lohman, S Lightstone",VLDB,2002,1
,,,,Implementing Data Cubes Efficiently,"V Harinarayan, A Rajaraman, J Ullman",SIGMOD Conference,1996,1
Hilbert R-tree: An Improved R-tree using Fractals,"I Kamel, C Faloutsos",,,Hilbert R-tree: An Improved R-tree using Fractals,"I Kamel, C Faloutsos",VLDB,1994,1
Memory Requirements for Query Execution in Highly Constrained Devices,"L Bouganim, P Pucheral, N Anciaux",,2003.0,Memory Requirements for Query Execution in Highly Constrained Devices,"N Anciaux, L Bouganim, P Pucheral",VLDB,2003,1
FALCON: Feedback Adaptive Loop for Content-Based Retrieval,"L Wu, C Faloutsos, KP Sycara, TR Payne","VLDB,",2000.0,FALCON: Feedback Adaptive Loop for Content-Based Retrieval,"L Wu, C Faloutsos, K Sycara, T Payne",VLDB,2000,1
The Fittest Survives: An Adaptive Approach to Query Optimization,"H Lu, KL Tan, S Dao","PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",1995.0,The Fittest Survives: An Adaptive Approach to Query Optimization,"H Lu, K Tan, S Dao",VLDB,1995,1
SPRINT: A Scalable Parallel Classifier for Data Mining,"J Shafer, R Agrawal, M Mehta","VLDB,",1996.0,SPRINT: A Scalable Parallel Classifier for Data Mining,"J Shafer, R Agrawal, M Mehta",VLDB,1996,1
Cost Models DO Matter: Providing Cost Information for Diverse Data Sources in a Federated System,"MT Roth, F Ozcan, LM Haas","&hellip;  International Conference on Very Large Data Bases table of  &hellip;,",1999.0,Cost Models DO Matter: Providing Cost Information for Diverse Data Sources in a Federated System,"M Roth, F Ozcan, L Haas",VLDB,1999,1
DISNIC-PLAN: A NICNET Based Distributed Database for Micro-level Planning in India,M Moni,"PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",1996.0,DISNIC-PLAN: A NICNET Based Distributed Database for Micro-level Planning in India,M Moni,VLDB,1996,1
Tree pattern query minimization,"S Amer-Yahia, S Cho, LVS Lakshmanan, D Srivastava","The VLDB Journal The International Journal on Very Large  &hellip;,",2002.0,Tree pattern query minimization,"S Amer-Yahia, S Cho, L Lakshmanan, D Srivastava",VLDB J.,2002,1
RP*: A Family of Order Preserving Scalable Distributed Data Structures,"W Litwin, MA Neimat","VLDB,",1994.0,RP*: A Family of Order Preserving Scalable Distributed Data Structures,"W Litwin, M Neimat, D Schneider",VLDB,1994,1
An Annotated Bibliography of Benchmarks for Object Databases,AB Chaudhri,"SIGMOD Record,",1995.0,An Annotated Bibliography of Benchmarks for Object Databases,A Chaudhri,SIGMOD Record,1995,1
Online Association Rule Mining,C Hidber,,,Online Association Rule Mining,C Hidber,SIGMOD Conference,1999,1
An ebXML infrastructure implementation through UDDI registries and RosettaNet PIPs,"A Dogac, Y Tambag, P Pembecioglu, S Pektas, G  ","SIGMOD Conference,",2002.0,An ebXML infrastructure implementation through UDDI registries and RosettaNet PIPs,"A Dogac, Y Tambag, P Pembecioglu, S Pektas, G Laleci, G Kurt, S Toprak, Y Kabak",SIGMOD Conference,2002,1
,,,,Coloring Away Communication in Parallel Query Optimization,"W Hasan, R Motwani",VLDB,1995,1
GTE SuperPages: Using IR Techniques for Searching Complex Objects,"S Whitehead, H Sinha, M Murphy","PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",1997.0,GTE SuperPages: Using IR Techniques for Searching Complex Objects,"S Whitehead, H Sinha, M Murphy",VLDB,1997,1
Effective page refresh policies for Web crawlers,"J Cho, H Garcia-Molina","ACM Transactions on Database Systems,",2003.0,Effective page refresh policies for Web crawlers,"J Cho, H Garcia-Molina",ACM Trans. Database Syst.,2003,1
DBCache: database caching for web application servers,"M Altinel, Q Luo, S Krishnamurthy, C Mohan, H  ","Proceedings of the 2002 ACM SIGMOD international conference  &hellip;,",2002.0,DBCache: database caching for web application servers,"M Altinel, Q Luo, S Krishnamurthy, C Mohan, H Pirahesh, B Lindsay, H Woo, L Brown",SIGMOD Conference,2002,1
,,,,Storing Semistructured Data with STORED,"A Deutsch, M Fernandez, D Suciu",SIGMOD Conference,1999,1
Adaptive Data Broadcast in Hybrid Networks,"K Stathotos, N Roussopoulos, JS Baras",Proceedings of the 23rd,,Adaptive Data Broadcast in Hybrid Networks,"K Stathatos, N Roussopoulos, J Baras",VLDB,1997,1
The Database and Information System Research Group at the University of Ulm,"P Dadam, W Klas","SIGMOD Record,",1997.0,The Database and Information System Research Group at the University of Ulm,"P Dadam, W Klas",SIGMOD Record,1997,1
TREX: DTD-Conforming XML to XML Transformations,"A Zhou, Q Wang, Z Guo, X Gong, S Zheng, H Wu, J  ",,,TREX: DTD-Conforming XML to XML Transformations,"A Zhou, Q Wang, Z Guo, X Gong, S Zheng, H Wu, J Xiao, K Yue, W Fan",SIGMOD Conference,2003,1
High Level Indexing of User-Defined Types,"W Chen, JH Chow, YC Fuh, J Grandbois, M Jou, NM  ","Proceedings of the 25th International Conference on Very  &hellip;,",1999.0,High Level Indexing of User-Defined Types,"W Chen, J Chow, Y Fuh, J Grandbois, M Jou, N Mattos, B Tran, Y Wang",VLDB,1999,1
A Language for Manipulating Arrays,"AP Marathe, K Salem","PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",1997.0,A Language for Manipulating Arrays,"A Marathe, K Salem",VLDB,1997,1
Partition Based Spatial-Merge Join,"JM Pate961 Patel, DJ Dewitt","Proceedings of the 1996 ACM-SIGMOD Conference, June,",,Partition Based Spatial-Merge Join,"J Patel, D DeWitt",SIGMOD Conference,1996,1
Extending Practical Pre-Aggregation in On-Line Analytical Processing,"TB Pedersen, CS Jensen, CE Dyreson","PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",1999.0,Extending Practical Pre-Aggregation in On-Line Analytical Processing,"T Pedersen, C Jensen, C Dyreson",VLDB,1999,1
Flexible support for multiple access control policies,"S Jajodia, P Samarati, ML Sapino, VS Subrahmanian","ACM Transactions on Database Systems,",2001.0,Flexible support for multiple access control policies,"S Jajodia, P Samarati, M Sapino, V Subrahmanian",ACM Trans. Database Syst.,2001,1
Fast Evaluation Techniques for Complex Similarity Queries,", M Mlivoncic, HJ Schek, R Weber","VLDB,",2001.0,Fast Evaluation Techniques for Complex Similarity Queries,"K Bіhm, M Mlivoncic, H Schek, R Weber",VLDB,2001,1
From Data Independence to Knowledge Independence: An on-going Story,L Vieille,"PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",1998.0,From Data Independence to Knowledge Independence: An on-going Story,L Vieille,VLDB,1998,1
EOS: An Extensible Object Store,"A Biliris, E Panagos","SIGMOD Conference,",1994.0,EOS: An Extensible Object Store,"A Biliris, E Panagos",SIGMOD Conference,1994,1
Managing Web Data,D Suciu,,,Managing Web Data,,,1999,1
Reverse Nearest Neighbor Aggregates Over Data Streams,"F Korn, S Muthukrishnan, D Srivastava","VLDB,",2002.0,Reverse Nearest Neighbor Aggregates Over Data Streams,"F Korn, S Muthukrishnan, D Srivastava",VLDB,2002,1
ADAM: A Testbed for Exploring the Use of Data Mining in Intrusion Detection,"D Barbara, J Couto, S Jajodia, N Wu","SIGMOD Record,",2001.0,ADAM: A Testbed for Exploring the Use of Data Mining in Intrusion Detection,"D Barbarс, J Couto, S Jajodia, N Wu",SIGMOD Record,2001,1
,,,,Beyond Market Baskets: Generalizing Association Rules to Correlations,"S Brin, R Motwani, C Silverstein",SIGMOD Conference,1997,1
Discovering Internet Marketing Intelligence through Online Analytical Web Usage Mining,"A Buncher, M Mulvenna","A. Dogac,",,Discovering Internet Marketing Intelligence through Online Analytical Web Usage Mining,"A Bќchner, M Mulvenna",SIGMOD Record,1998,1
Procedures in Object-Oriented Query Languages,"K Subieta, Y Kambayashi, J Leszczylowski","PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",1995.0,Procedures in Object-Oriented Query Languages,"K Subieta, Y Kambayashi, J Leszczylowski",VLDB,1995,1
Using Metadata for the Intelligent Browsing of Structured Media Objects,"WI Grosky, F Fotouhi, IK Sethi","SIGMOD Record,",1994.0,Using Metadata for the Intelligent Browsing of Structured Media Objects,"W Grosky, F Fotouhi, I Sethi",SIGMOD Record,1994,1
Mixed Mode XML Query Processing,"A Halverson, J Burger, L Galanis, A Kini, R  ","PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON VERY LARGE  &hellip;,",2003.0,Mixed Mode XML Query Processing,"A Halverson, J Burger, L Galanis, A Kini, R Krishnamurthy, A Rao, F Tian, S Viglas, Y Wang, J Naughton, D DeWitt",VLDB,2003,1
