Title_A,Authors_A,Date_A,Journal-ref_A,Title_B,Authors_B,Date_B,Journal-ref_B,Gold
Analysis of Gradient-Based Expectation-Maximization-Like Algorithms via Integral Quadratic Constraints,"Sarthak Chatterjee, Orlando Romero, Srgio Pequito","3 March, 2019",,The Parallel Knowledge Gradient Method for Batch Bayesian Optimization,"Jian Wu, Peter Frazier",December 2016,Neurips 2016,0
Determining full conditional independence by low-order conditioning,Dhafer Malouche,"14 January, 2010","Bernoulli 2009, Vol. 15, No. 4, 1179-1189",Scalable Kernel Methods via Doubly Stochastic Gradients,"Bo Dai, Bo Xie, Niao He, Yingyu Liang, Anant Raj, Maria-Florina F. Balcan, Le Song",December 2014,Neurips 2014,0
NeuNetS: An Automated Synthesis Engine for Neural Network Design,"Atin Sood, Benjamin Elder, Benjamin Herta, Chao Xue, Costas Bekas, A. Cristiano I. Malossi, Debashish Saha, Florian Scheidegger, Ganesh Venkataraman, Gegi Thomas, Giovanni Mariani, Hendrik Strobelt, Horst Samulowitz, Martin Wistuba, Matteo Manica, Mihir Choudhury, Rong Yan, Roxana Istrate, Ruchir Puri, Tejaswini Pedapati","16 January, 2019",,Integrated Non-Factorized Variational Inference,"Shaobo Han, Xuejun Liao, Lawrence Carin",December 2013,Neurips 2013,0
BOCK : Bayesian Optimization with Cylindrical Kernels,"ChangYong Oh, Efstratios Gavves, Max Welling","5 June, 2018",,Subspace Clustering with Irrelevant Features via Robust Dantzig Selector,"Chao Qu, Huan Xu",December 2015,Neurips 2015,0
Riemannian stochastic variance reduced gradient,"Hiroyuki Sato, Hiroyuki Kasai, Bamdev Mishra","10 April, 2017",,Matrix Completion From any Given Set of Observations,"Troy Lee, Adi Shraibman",December 2013,Neurips 2013,0
An MDP-based Recommender System,"Guy Shani, Ronen I. Brafman, David Heckerman","16 May, 2015",,"Estimation, Optimization, and Parallelism when Data is Sparse","John Duchi, Michael I. Jordan, Brendan McMahan",December 2013,Neurips 2013,0
Learning using Local Membership Queries,"Pranjal Awasthi, Vitaly Feldman, Varun Kanade","17 April, 2013",,Learning Bayesian Networks with Thousands of Variables,"Mauro Scanagatta, Cassio P. de Campos, Giorgio Corani, Marco Zaffalon",December 2015,Neurips 2015,0
Samples are not all useful: Denoising policy gradient updates using variance,"Yannis Flet-Berliac, Philippe Preux","10 April, 2019",,Consistency of weighted majority votes,"Daniel Berend, Aryeh Kontorovich",December 2014,Neurips 2014,0
Teaching Categories to Human Learners with Visual Explanations,"Oisin Mac Aodha, Shihan Su, Yuxin Chen, Pietro Perona, Yisong Yue","19 February, 2018",,Algorithmic Regularization in Learning Deep Homogeneous Models: Layers are Automatically Balanced,"Simon S. Du, Wei Hu, Jason D. Lee",December 2018,Neurips 2018,0
Adaptive Stochastic Primal-Dual Coordinate Descent for Separable Saddle Point Problems,"Zhanxing Zhu, Amos J. Storkey","12 June, 2015",,"Interpreting Neural Network Judgments via Minimal, Stable, and Symbolic Corrections","Xin Zhang, Armando Solar-Lezama, Rishabh Singh",December 2018,Neurips 2018,0
Learning Optimal Resource Allocations in Wireless Systems,"Mark Eisen, Clark Zhang, Luiz F. O. Chamon, Daniel D. Lee, Alejandro Ribeiro","12 March, 2019",,Lifelong Learning with Weighted Majority Votes,"Anastasia Pentina, Ruth Urner",December 2016,Neurips 2016,0
Discovering and Removing Exogenous State Variables and Rewards for Reinforcement Learning,"Thomas G. Dietterich, George Trimponias, Zhitang Chen","5 June, 2018",,Sidestepping Intractable Inference with Structured Ensemble Cascades,"David Weiss, Benjamin Sapp, Ben Taskar",December 2010,Neurips 2010,0
Minimax sparse principal subspace estimation in high dimensions,"Vincent Q. Vu, Jing Lei","3 January, 2014","Annals of Statistics 2013, Vol. 41, No. 6, 2905-2947",A Nonconvex Optimization Framework for Low Rank Matrix Estimation,"Tuo Zhao, Zhaoran Wang, Han Liu",December 2015,Neurips 2015,0
Learning from Noisy Labels with Distillation,"Yuncheng Li, Jianchao Yang, Yale Song, Liangliang Cao, Jiebo Luo, Li-Jia Li","7 April, 2017",,Tight Bounds on Profile Redundancy and Distinguishability,"Jayadev Acharya, Hirakendu Das, Alon Orlitsky",December 2012,Neurips 2012,0
When Neurons Fail,"El Mahdi El Mhamdi, Rachid Guerraoui","27 June, 2017",,Augmented-SVM: Automatic space partitioning for combining multiple non-linear dynamics,"Ashwini Shukla, Aude Billard",December 2012,Neurips 2012,0
deepMiRGene: Deep Neural Network based Precursor microRNA Prediction,"Seunghyun Park, Seonwoo Min, Hyunsoo Choi, Sungroh Yoon","29 April, 2016",,Active Learning from Weak and Strong Labelers,"Chicheng Zhang, Kamalika Chaudhuri",December 2015,Neurips 2015,0
An implementation of the relational k-means algorithm,Balzs Szalkai,"25 April, 2013",,Online Learning of Dynamic Parameters in Social Networks,"Shahin Shahrampour, Sasha Rakhlin, Ali Jadbabaie",December 2013,Neurips 2013,0
Accelerated Stochastic Quasi-Newton Optimization on Riemann Manifolds,Anirban Roychowdhury,"22 May, 2017",,Phase Transitions in the Pooled Data Problem,"Jonathan Scarlett, Volkan Cevher",December 2017,Neurips 2017,0
Heavy-tailed kernels reveal a finer cluster structure in t-SNE visualisations,"Dmitry Kobak, George Linderman, Stefan Steinerberger, Yuval Kluger, Philipp Berens","4 April, 2019",,Predicting Execution Time of Computer Programs Using Sparse Polynomial Regression,"Ling Huang, Jinzhu Jia, Bin Yu, Byung-gon Chun, Petros Maniatis, Mayur Naik",December 2010,Neurips 2010,0
Soft-DTW: a Differentiable Loss Function for Time-Series,"Marco Cuturi, Mathieu Blondel","20 February, 2018",,Probabilistic Line Searches for Stochastic Optimization,"Maren Mahsereci, Philipp Hennig",December 2015,Neurips 2015,0
A Multi-Modal Approach to Infer Image Affect,"Ashok Sundaresan, Sugumar Murugesan, Sean Davis, Karthik Kappaganthu, ZhongYi Jin, Divya Jain, Anurag Maunder","13 March, 2018",,A Smoother Way to Train Structured Prediction Models,"Venkata Krishna Pillutla, Vincent Roulet, Sham M. Kakade, Zaid Harchaoui",December 2018,Neurips 2018,0
Computational Lower Bounds for Community Detection on Random Graphs,"Bruce Hajek, Yihong Wu, Jiaming Xu","11 March, 2015",,Agnostic Selective Classification,"Yair Wiener, Ran El-Yaniv",December 2011,Neurips 2011,0
Progressive Neural Networks for Transfer Learning in Emotion Recognition,"John Gideon, Soheil Khorram, Zakaria Aldeneh, Dimitrios Dimitriadis, Emily Mower Provost","10 June, 2017",,A hybrid sampler for Poisson-Kingman mixture models,"Maria Lomeli, Stefano Favaro, Yee Whye Teh",December 2015,Neurips 2015,0
Introduction to Graphical Modelling,"Marco Scutari, Korbinian Strimmer","28 June, 2011",,Distributed ,"Shi Li, Xiangyu Guo",December 2018,Neurips 2018,0
"Deep Multimodal Embedding: Manipulating Novel Objects with Point-clouds, Language and Trajectories","Jaeyong Sung, Ian Lenz, Ashutosh Saxena","17 May, 2017",,Bayesian Mixture Modelling and Inference based Thompson Sampling in Monte-Carlo Tree Search,"Aijun Bai, Feng Wu, Xiaoping Chen",December 2013,Neurips 2013,0
Generative Adversarial Network with Multi-Branch Discriminator for Cross-Species Image-to-Image Translation,"Ziqiang Zheng, Zhibin Yu, Haiyong Zheng, Yang Wu, Bing Zheng, Ping Lin","24 January, 2019",,Reconstructing Patterns of Information Diffusion from Incomplete Observations,"Flavio Chierichetti, David Liben-nowell, Jon M. Kleinberg",December 2011,Neurips 2011,0
Neural Decoder for Topological Codes using Pseudo-Inverse of Parity Check Matrix,"Chaitanya Chinni, Abhishek Kulkarni, Dheeraj M. Pai, Kaushik Mitra, Pradeep Kiran Sarvepalli","24 January, 2019",,Orthogonally Decoupled Variational Gaussian Processes,"Hugh Salimbeni, Ching-An Cheng, Byron Boots, Marc Deisenroth",December 2018,Neurips 2018,0
Learning Multiscale Features Directly From Waveforms,"Zhenyao Zhu, Jesse H. Engel, Awni Hannun","5 April, 2016",,QUIC & DIRTY: A Quadratic Approximation Approach for Dirty Statistical Models,"Cho-Jui Hsieh, Inderjit S. Dhillon, Pradeep K. Ravikumar, Stephen Becker, Peder A. Olsen",December 2014,Neurips 2014,0
Affect-Driven Dialog Generation,"Pierre Colombo, Wojciech Witon, Ashutosh Modi, James Kennedy, Mubbasir Kapadia","4 April, 2019",,Visual Reference Resolution using Attention Memory for Visual Dialog,"Paul Hongsuck Seo, Andreas Lehrmann, Bohyung Han, Leonid Sigal",December 2017,Neurips 2017,0
Climbing a shaky ladder: Better adaptive risk estimation,Moritz Hardt,"8 June, 2017",,Linearly constrained Gaussian processes,"Carl Jidling, Niklas Wahlstrm, Adrian Wills, Thomas B. Schn",December 2017,Neurips 2017,0
Where are we now? A large benchmark study of recent symbolic regression methods,"Patryk Orzechowski, William La Cava, Jason H. Moore","7 June, 2018",,Online Rank Elicitation for Plackett-Luce: A Dueling Bandits Approach,"Balzs Szrnyi, Rbert Busa-Fekete, Adil Paul, Eyke Hllermeier",December 2015,Neurips 2015,0
Fast inference of deep neural networks in FPGAs for particle physics,"Javier Duarte, Song Han, Philip Harris, Sergo Jindariani, Edward Kreinar, Benjamin Kreis, Jennifer Ngadiuba, Maurizio Pierini, Ryan Rivera, Nhan Tran, Zhenbin Wu","28 June, 2018",,Recurrent Models of Visual Attention,"Volodymyr Mnih, Nicolas Heess, Alex Graves, koray kavukcuoglu",December 2014,Neurips 2014,0
Open Question Answering with Weakly Supervised Embedding Models,"Antoine Bordes, Jason Weston, Nicolas Usunier","16 April, 2014",,Tractability in Structured Probability Spaces,"Arthur Choi, Yujia Shen, Adnan Darwiche",December 2017,Neurips 2017,0
FuSSO: Functional Shrinkage and Selection Operator,"Junier B. Oliva, Barnabas Poczos, Timothy Verstynen, Aarti Singh, Jeff Schneider, Fang-Cheng Yeh, Wen-Yih Tseng","8 March, 2014",,Complex Gated Recurrent Neural Networks,"Moritz Wolter, Angela Yao",December 2018,Neurips 2018,0
The Hierarchical Dirichlet Process Hidden Semi-Markov Model,"Matthew J. Johnson, Alan Willsky","15 March, 2012",,Distributionally Robust Logistic Regression,"Soroosh Shafieezadeh Abadeh, Peyman Mohajerin Mohajerin Esfahani, Daniel Kuhn",December 2015,Neurips 2015,0
Data driven approximation of parametrized PDEs by Reduced Basis and Neural Networks,"Niccol Dal Santo, Simone Deparis, Luca Pegolotti","2 April, 2019",,Multiple Instance Learning for Efficient Sequential Data Classification on Resource-constrained Devices,"Don Dennis, Chirag Pabbaraju, Harsha Vardhan Simhadri, Prateek Jain",December 2018,Neurips 2018,0
Learning What Data to Learn,"Yang Fan, Fei Tian, Tao Qin, Jiang Bian, Tie-Yan Liu","27 February, 2017",,Proper losses for learning from partial labels,Jess Cid-sueiro,December 2012,Neurips 2012,0
Matrix Completion with Nonconvex Regularization: Spectral Operators and Scalable Algorithms,"Rahul Mazumder, Diego F. Saldana, Haolei Weng","24 January, 2018",,Object Detection with Grammar Models,"Ross B. Girshick, Pedro F. Felzenszwalb, David A. McAllester",December 2011,Neurips 2011,0
Relational Graph Attention Networks,"Dan Busbridge, Dane Sherburn, Pietro Cavallo, Nils Y. Hammerla","11 April, 2019",,A Decomposition of Forecast Error in Prediction Markets,"Miro Dudik, Sebastien Lahaie, Ryan M. Rogers, Jennifer Wortman Vaughan",December 2017,Neurips 2017,0
Clipping free attacks against artificial neural networks,"Boussad Addad, Jerome Kodjabachian, Christophe Meyer","28 March, 2018",,Max-Margin Majority Voting for Learning from Crowds,"TIAN TIAN, Jun Zhu",December 2015,Neurips 2015,0
Riemannian metrics for neural networks II: recurrent networks and learning symbolic data sequences,Yann Ollivier,"3 February, 2015",,Improved Network Robustness with Adversary Critic,"Alexander Matyasko, Lap-Pui Chau",December 2018,Neurips 2018,0
Separable Dictionary Learning,"Simon Hawe, Matthias Seibert, Martin Kleinsteuber","21 March, 2013",,Majorization for CRFs and Latent Likelihoods,"Tony Jebara, Anna Choromanska",December 2012,Neurips 2012,0
What the Vec? Towards Probabilistically Grounded Embeddings,"Carl Allen, Ivana Balaevi?, Timothy Hospedales","30 May, 2018",,A Spectral View of Adversarially Robust Features,"Shivam Garg, Vatsal Sharan, Brian Zhang, Gregory Valiant",December 2018,Neurips 2018,0
Unconstrained Online Linear Learning in Hilbert Spaces: Minimax Algorithms and Normal Approximations,"H. Brendan McMahan, Francesco Orabona","21 May, 2014",,The Sparse Manifold Transform,"Yubei Chen, Dylan Paiton, Bruno Olshausen",December 2018,Neurips 2018,0
Feature Fusion Encoder Decoder Network For Automatic Liver Lesion Segmentation,"Xueying Chen, Rong Zhang, Pingkun Yan","28 March, 2019",,Uprooting and Rerooting Higher-Order Graphical Models,"Mark Rowland, Adrian Weller",December 2017,Neurips 2017,0
CSI-Net: Unified Human Body Characterization and Pose Recognition,"Fei Wang, Jinsong Han, Shiyuan Zhang, Xu He, Dong Huang","22 January, 2019",,Skip-Thought Vectors,"Ryan Kiros, Yukun Zhu, Ruslan R. Salakhutdinov, Richard Zemel, Raquel Urtasun, Antonio Torralba, Sanja Fidler",December 2015,Neurips 2015,0
Tweet2Vec: Character-Based Distributed Representations for Social Media,"Bhuwan Dhingra, Zhong Zhou, Dylan Fitzpatrick, Michael Muehl, William W. Cohen","17 May, 2016",,Complexity of Inference in Latent Dirichlet Allocation,"David Sontag, Dan Roy",December 2011,Neurips 2011,0
Reviving Threshold-Moving: a Simple Plug-in Bagging Ensemble for Binary and Multiclass Imbalanced Data,"Guillem Collell, Drazen Prelec, Kaustubh Patil","20 June, 2017",,Collaborative Deep Learning in Fixed Topology Networks,"Zhanhong Jiang, Aditya Balu, Chinmay Hegde, Soumik Sarkar",December 2017,Neurips 2017,0
Consistent Algorithms for Multiclass Classification with a Reject Option,"Harish G. Ramaswamy, Ambuj Tewari, Shivani Agarwal","15 May, 2015",,Manifold Structured Prediction,"Alessandro Rudi, Carlo Ciliberto, GianMaria Marconi, Lorenzo Rosasco",December 2018,Neurips 2018,0
Online Structured Laplace Approximations For Overcoming Catastrophic Forgetting,"Hippolyt Ritter, Aleksandar Botev, David Barber","20 May, 2018",,Learning Safe Policies with Expert Guidance,"Jessie Huang, Fa Wu, Doina Precup, Yang Cai",December 2018,Neurips 2018,0
"The exploding gradient problem demystified - definition, prevalence, impact, origin, tradeoffs, and solutions","George Philipp, Dawn Song, Jaime G. Carbonell","6 April, 2018",,Process-constrained batch Bayesian optimisation,"Pratibha Vellanki, Santu Rana, Sunil Gupta, David Rubin, Alessandra Sutti, Thomas Dorin, Murray Height, Paul Sanders, Svetha Venkatesh",December 2017,Neurips 2017,0
Neural Decision Trees,Randall Balestriero,"6 March, 2017",,Monte Carlo Methods for Maximum Margin Supervised Topic Models,"Qixia Jiang, Jun Zhu, Maosong Sun, Eric P. Xing",December 2012,Neurips 2012,0
Intentional Control of Type I Error over Unconscious Data Distortion: a Neyman-Pearson Approach to Text Classification,"Lucy Xia, Richard Zhao, Yanhui Wu, Xin Tong","3 June, 2018",,Task-Driven Convolutional Recurrent Models of the Visual System,"Aran Nayebi, Daniel Bear, Jonas Kubilius, Kohitij Kar, Surya Ganguli, David Sussillo, James J. DiCarlo, Daniel L. Yamins",December 2018,Neurips 2018,0
Learning the Conditional Independence Structure of Stationary Time Series: A Multitask Learning Approach,Alexander Jung,"11 January, 2015",,The streaming rollout of deep networks - towards fully model-parallel execution,"Volker Fischer, Jan Koehler, Thomas Pfeil",December 2018,Neurips 2018,0
Clustering is difficult only when it does not matter,"Amit Daniely, Nati Linial, Michael Saks","22 May, 2012",,Loss Functions for Multiset Prediction,"Sean Welleck, Zixin Yao, Yu Gai, Jialin Mao, Zheng Zhang, Kyunghyun Cho",December 2018,Neurips 2018,0
Online Deep Learning: Growing RBM on the fly,"Savitha Ramasamy, Kanagasabai Rajaraman, Pavitra Krishnaswamy, Vijay Chandrasekhar","6 March, 2018",,Approximate Dynamic Programming Finally Performs Well in the Game of Tetris,"Victor Gabillon, Mohammad Ghavamzadeh, Bruno Scherrer",December 2013,Neurips 2013,0
Learning Edge Properties in Graphs from Path Aggregations,"Rakshit Agrawal, Luca de Alfaro","11 March, 2019",,NEON2: Finding Local Minima via First-Order Oracles,"Zeyuan Allen-Zhu, Yuanzhi Li",December 2018,Neurips 2018,0
Adaptive stochastic gradient algorithms on Riemannian manifolds,"Hiroyuki Kasai, Pratik Jawanpuria, Bamdev Mishra","4 February, 2019",,Machine Learning with Adversaries: Byzantine Tolerant Gradient Descent,"Peva Blanchard, El Mahdi El Mhamdi, Rachid Guerraoui, Julien Stainer",December 2017,Neurips 2017,0
Accelerating Minibatch Stochastic Gradient Descent using Stratified Sampling,"Peilin Zhao, Tong Zhang","13 May, 2014",,Generative Local Metric Learning for Nearest Neighbor Classification,"Yung-kyun Noh, Byoung-tak Zhang, Daniel D. Lee",December 2010,Neurips 2010,0
Efficient GAN-Based Anomaly Detection,"Houssam Zenati, Chuan Sheng Foo, Bruno Lecouat, Gaurav Manek, Vijay Ramaseshan Chandrasekhar","17 February, 2018",,Probabilistic Differential Dynamic Programming,"Yunpeng Pan, Evangelos Theodorou",December 2014,Neurips 2014,0
Multi-Labelled Value Networks for Computer Go,"Ti-Rong Wu, I-Chen Wu, Guan-Wun Chen, Ting-han Wei, Tung-Yi Lai, Hung-Chun Wu, Li-Cheng Lan","30 May, 2017",,Diminishing Returns Shape Constraints for Interpretability and Regularization,"Maya Gupta, Dara Bahri, Andrew Cotter, Kevin Canini",December 2018,Neurips 2018,0
Sounderfeit: Cloning a Physical Model using a Conditional Adversarial Autoencoder,Stephen Sinclair,"25 June, 2018","Revista Msica Hodie, [S.l.], v. 18, n. 1, p. 44 - 60, jun. 2018",The Importance of Sampling inMeta-Reinforcement Learning,"Bradly Stadie, Ge Yang, Rein Houthooft, Peter Chen, Yan Duan, Yuhuai Wu, Pieter Abbeel, Ilya Sutskever",December 2018,Neurips 2018,0
