ID,Brand,Title,Price,Description,Model_Number,Ship_Weight,Dimensions
649,Lexar Media,Lexar Media LMSPD8GBBSBNA 8GB Platinum II Memory Stick PRO Duo Card,22.99,Lexar Media LMSPD8GBBSBNA 8GB Platinum II Memory Stick PRO Duo Card,LMSPD8GBBSBNA,0.5,6.9 x 4.9 x 0.4 inches
650,Targus,Targus TCM004US Messenger Notebook Case,23.88,The Targus Messenger Notebook Case fits most notebooks with up to 15.4  a padded notebook compartment offers extra protection and the front load workstation includes organization essentials such as media storage pen loops and notebook accessory compartments. Mobility is made easy with the easy-grip top handle and adjustable padded shoulder strap.,,,
651,Draper,Draper M2500 Access Series V Electric Screen  - HDTV 119 diagonal,2107.95,,102301,103.0,
652,Draper,Draper IRUS Rear Projection Screen with System 400 Black Frame - 120 diagonal NTSC Format,6173.95,,125123,360.0,
653,StarTech,Startech 6 RJ-45 to DB9 Cisco Console Management Router Cable,19.0,This 6 Cisco Console Management Cable is designed as a replacement cable for use with several Cisco routers including the 600 800 1600 and 1700 series.,DB9CONCABL6,0.22,8.0 x 8.0 x 0.25 inches
654,Draper,Draper Vortex Rear Projection Screen with No Frame - 84 diagonal NTSC Format,4710.0,,125059,150.0,
655,Case Logic,Case Logic Universal MP3 Armband Clear Front Panel Gray,10.09,This universal sport armband is compatible with small MP3 players. A thin lycra cover and clear screen protector lets you change songs and view the screen without having to remove player. A hidden storage pocket stores health club ID credit card money and or keys while working out. The one-hand easy adjust armband eliminates unnecessary fumbling. Plug your headphones into the jack opening at bottom of case.,UMA-102GRAY,0.5,4.0 x 2.5 x 0.75 inches
656,Avery,Avery Style Edge Insertable Reference Dividers with 8 Tabs,5.47,Avery Style Edge Insertable Reference Dividers with 8 Tabs are great for filing and classifying documents. The tabs insert from the side and provide a secure fit. Avery Style Edge Insertable Reference Dividers are a professional choice for your home or office needs.,11201,0.366,
657,Canon,Canon AC Adapter Kit For Powershot-SD900 SD800IS SD700IS,52.88,,ACK-DC30,0.85,8.0 x 3.25 x 2.0 inches
658,EP Memory,Action Sport Drives 16GB Santa Cruz USB Snow Drive Spider,28.98,The Action Sport Drives Santa Cruz USB Snow Drive is the first and only authentic USB Flash Drive snowboard. Combining innovative design with the graphics from an actual Santa Cruz snowboard this flash drive delivers in both form and function.,SC-SNOWSP/16G,1.5,6.25 x 3.25 x 1.5 inches
659,KEYSPAN,Keyspan USB Twin Serial Adapter,70.73,Our USB Twin Serial Adapter is recommended by dozens of serial device manufacturers and has been certified by Apple for use with Final Cut Pro.,USA-28XG,0.25,9.75 x 6.5 x 2.5 inches
660,REDI-TAG CORPORATION,REDI-TAG CORPORATION                               Side-Mount Self-Stick Plastic Index Tabs Nos 11-20 1in WE 104 pack,1.99,,,0.03,
661,Bell'O,Bell O High-Speed HDMI Cable with Ethernet 2-Meter,69.99,Your TV is only as good as the signal it receives. Bell O HDMI cables ensure that all of the audio and video data available reaches your system to bring your experience to life. Advanced technologies and TruSpeed tested 14.9 gigabit per second transfer rate depending on length exceed today s standards making these the last cables you ll need for a very long time.,HD7102,0.5,80.0 x 0.5 x 0.5 inches
662,Case Logic,Case Logic 16  Laptop Backpack,39.99,,154710,1.71,19.0 x 13.5 x 6.5 inches
663,TOPS BUSINESS FORMS,TOPS Paper Pads Legal Rule Letter Size 50 Sheet Pads Dozen,15.47,Take note with TOPS Paper Pads. These economical pads provide an excellent place to record anything you find noteworthy. Letr-Trim perforations make it easy to tear off individual sheets. Sturdy chipboard backing gives you a good writing surface.,7532,5.729,
664,Epson,Epson WorkForce Pro GT-S50 Document Image Scanner,407.12,The WorkForce Pro GT-S50 Document Image Scanner offers an amazing value with its remarkable reliability powerful performance and easy-to-use features. With a daily duty cycle of up to 1200 sheets plus a 75-page feeder it s ready to tackle any task in busy office environments. You can scan everything from business cards to rigid ID cards and documents up to 8.5 x 36 inches.,B11B194011,15.0,15.6 x 12.6 x 11.7 inches
665,Adobe,Adobe Photoshop and Premiere Elements 9 Windows and Mac,140.7,Adobe Photoshop and Premiere Elements 9 delivers powerful options that make it easy to use photos and videos together and share them in entertaining ways. You ll enjoy a complete solution for photos and videos for both Windows and Mac with Adobe Photoshop and Premiere Elements 9.,65087226,0.4,7.9 x 7.2 x 1.8 inches
666,Da-Lite,Da-Lite Video Spectra 1.5 Model B Manual Screen with CSR - 69 x 92 Video Format,429.99,,85322,32.0,
667,Coolermaster,Cooler Master HAF-X 942 Chassis Black,209.99,The much-anticipated Coolermaster HAF X Chassis arrives as the flagship of the popular HAF High Air Flow series. Designed for performance systems this chassis is able to house today s latest and hottest CPUs motherboards graphics cards and is even compatible with USB 3.0 devices. With specialized support and cooling for graphic cards massive airflow with the help of up to four gigantic fans and easy access to installed components this as close as it gets to a system builder s dream case .,RC-942-KKN1,36.7,26.1 x 25.8 x 11.5 inches
668,Asus,ASUS ENGT430 GT430 PCI-E 1GB Graphics Card,84.92,The ASUS ENGT430 GT430 PCI-E 1GB Graphics Card is ideal for HTPCs and full-HD Blu-ray 3D entertainment. This Low Profile GeForce graphics card offers a 25 percent longer lifespan thanks to its unique dust-proof fan.,ENGT430/DI/1GD3(LP),1.33,9.0 x 6.5 x 2.0 inches
669,Vivitar,Wintec Value 4GB 2 x 2GB DDR2 PC2-6400 Memory Upgrade Kit for Laptops,65.0,The Wintec Value 4GB 2 x 2GB DDR2 PC2-6400 Memory Upgrade Kit for Laptops includes the complete DIY solution to upgrade your laptop. It includes step-by-step instructions with descriptive images screwdriver and ESD wrist strap to make memory upgrade experience seamless. You will notice the immediate speed and performance increase on your laptop without paying a premium price for a technician to upgrade your laptop memory by doing it yourself.,3VT8005S9-4GKU,0.5,8.0 x 5.0 x 1.0 inches
670,Creative Labs,Creative Labs Sound Blaster Tactic3D Alpha,59.99,Experience the evolution of 3D gaming audio with the Sound Blaster Tactic3D Alpha gaming headset. Acoustically optimized 40mm drivers combine with THX TruStudio Pro technology to transform everyday audio into a mind-blowing cinematic experience. Touchscreen software and Tactic Profiles allow you to save and share your favorite settings including THX TruStudio Pro Surround for immersive 360-degree headphone surround and VoiceFX voice morphing technology. The dual mode design allows you to connect via standard minijacks or use the Dual Mode adapter to connect to your PC or Mac s USB port for the full THX TruStudio Pro experience.,GH012000003,1.45,13.2 x 10.9 x 5.8 inches
671,,Centon 8GB DataStick Pro USB Flash Drive 2-Pack Bundle,24.0,,,,
672,Tribeca,Wisconsin Badgers iPhone 4 Case Black Shell,29.99,,FVA3175,,
673,IOSAFE,ioSafe Rugged 250GB USB 3.0 Portable External Hard Drive,249.99,Whether you need to protect your data from the everyday knocks and bumps of travel or from the most extreme conditions on the planet ioSafe has you covered. Designed to military specifications the ioSafe Rugged Portable Hard Drive protects data from drops water chemicals and more.,PA50250U5YR,1.0,10.0 x 8.0 x 3.0 inches
674,XFX,XFX AMD Radeon HD 6950 1GB DDR5 Graphics Card,269.82,Make sure that you choose wisely and are equipped with a graphics card custom fit to your specific needs.  Which is why you ll want the XFX AMD Radeon HD 6950 Graphics Card. The HD 6950 does what other cards can only claim outperform its similarly equipped competition. This series of Radeon HD graphics cards is AMD s 3D gaming and multi-media solution for desktop computers plus the next level of HDMI 1.4a and DisplayPort 1.2 solutions for Stereoscopic 3D including 2GB of GDDR5 memory. XFX also offers you additional versions with enhanced cooling solutions plus overclocked editions of these cards to custom fit the specific needs of the gamer.,HD695XZNDC,2.55,12.9 x 6.5 x 4.0 inches
675,3M,3m Easy Trap 8 x 125 Duster,74.97,Disposable duster designed to trap dirt.,55654,5.38,21.8 x 21.8 x 12.9 inches
676,,Xstamper One-Color Title Message Stamp Completed,8.94,The Xstamper One-Color Title Message Stamp is perfect for labeling paperwork or folders. Allow your business run more smoothly by using the variety of available Xstamper One-Color Title Message Stamps. These self-inking message stamps feature a laser-engraved stamp face.,1026,0.096,
677,,Pendaflex 3 1 2  Expansion File Pocket Manila Red Fiber 25 Per Box,29.97,The Pendaflex Standard Expanding File Pocket has a double-thick front that folds down for easy access. Rip-proof tape reinforced gusset tops with a red fiber with Manila lined back. Manufacturer s lifetime guarantee. Contains 10 percent post-consumer recycled content.,1526EOX,5.348,
678,iLuv,jWIN Caf Nites In-Ear Earphones Blue,9.88,These comfortable in-ear earphones are built with high-performance speakers for extended frequency range lower distortion and high power handling.,IEP222BLU,5.5,8.0 x 2.4 x 1.1 inches
679,iLive,iLive App-Enhanced Boom Box with iPod iPhone Dock,63.88,The iLive App-Enhanced Boom Box with iPod iPhone Dock is the perfect portable accessory for the avid music fan.,iBP391B,3.6708,13.77 x 8.66 x 5.11 inches
680,CyberPower,CyberPower 900 Joules 6-Outlet Surge Protector,13.88,The CyberPower 615 offers basic surge suppression for small electronics with 900 joule MOV power protection. Guarding against lightning induced spikes surges and utility company line disturbances your equipment will have a first-line of defense against AC power fluctuations. This surge suppressor is ideal for TVs stereos CD players and other small electronic devices. The suppressor is also equipped with EMI RFI filtering that blocks unwanted line noise from all connected electronics.,615,1.15,13.5 x 5.75 x 1.75 inches
681,CP TECH,CP Technologies LevelOne OAN-0501 Omni-Directional Antenna,15.71,The CP Technologies LevelOne OAN-0501 Omni-Directional Antenna is designed for 802.11b g wireless applications in 2.4GHz frequency range. This antenna provides a more stable signal and extends coverage. The CP Technologies LevelOne OAN-0501 Omni-Directional Antenna is replacement for standard detachable antennas on most wireless routers and access points.,OAN-0501,0.06,7.75 x 0.63 x 0.5 inches
682,Optoma,Optoma BL-FP200C Replacement Projector Lamp for HD70 Home Theater Projector,264.84,Lamp Life 3000 Hour                            Fits HD70,BL-FP200C,0.7,6.3 x 6.2 x 5.0 inches
683,Olympus,Olympus Telephone Conversation Recording Device,19.99,Olympus Telephone Conversation Recording Device,TP-7,0.07,5.0 x 2.0 x 0.8 inches
684,Nikon,Nikon Coolpix S70 Brown 12.1MP Digital Camera with 5x Optical Zoom w 50 Bonus Prints,299.95,Get 50 Bonus Prints from Wal-Mart Photo a 9.50 Value Get the shot without the fuss with the Nikon Coolpix S70 Brown 12MP Digital Camera. Its high resolution allows you to get stunning enlargements made up to 16 x 20 inches. The 3.5-inch touch-panel OLED monitor has an anti-glare coating and enables easy touch control of all camera functions. The S70 s VR Image Stabilization compensates for the effects of camera shake for sharper clearer pictures. Additional highlights on the Nikon Coolpix S70 Brown 12MP Digital Camera include face detection blink-proof function in-camera red-eye fix and HD video shooting with sound.,S70 Brown,1.85,3.8 x 2.4 x 0.8 inches
685,,Weyerhaeuser Company MultiUse Premium Paper 98 Brightness 24lb 8-1 2 x 14 White 500 Sheets Ream,12.47,Presentation quality. Heavy new improved performance paper with a quality look and feel. For rich colors sharp text and graphics reproduction on a variety of imaging equipment.,85781,7.808,
686,Targus,V7 Executive Leather Case for 15.4  Laptops Black By Targus,29.84,,ONT224US,3.3,17.0 x 14.25 x 3.5 inches
687,Solidtek,Solidtek KB-7091BU USB Washable Keyboard,50.84,Solidtek KB-7091BU USB Washable Keyboard,KB-7091BU,2.8,18.2 x 7.5 x 1.6 inches
688,StarTech,StarTech.com PEX1P 1 Port PCIe DP Parallel Adapter Card,32.88,This Parallel Adapter can be installed in a PCI Express PCIe slot allowing you to connect EPP ECP parallel peripherals to the computer even if the computer motherboard doesn t offer a parallel port.  This high performance SPP EPP ECP parallel card adds one DB25 parallel port perfect for connecting printers scanners CD-R RW drives memory card readers printers scanners bar code readers and more. Plus with the added convenience of plug and play capability installing the parallel adapter card is hassle-free,PEX1P,0.3,6.02 x 5.04 x 1.06 inches
689,Kodak,Kodak Easyshare M530 Red 12MP Digital Camera w 3X Optical Zoom 2.7  LCD w 50 Bonus Prints,99.54,Get 50 Bonus Prints from Wal-Mart Photo a 9.50 Value Picture this you re letting loose at a trendy hotspot with friends and snapping pictures you ll want to share online as soon as you get home. Any other camera would slow you down with tags sorts and uploads but not the Kodak Easyshare M530 Red Digital Camera. It allows you to tag pictures directly from your camera for emailing or uploading to YouTube Facebook Flickr and the Kodak Gallery. The real Kodak moment happens when you share.  Note Memory card not included. Purchase of a memory card is highly recommended.,M530 Red,0.95,3.9 x 2.3 x 0.9 inches
