id,title,time,director,year,star,cost
1727,Final Fantasy - The Spirits Within [Blu-ray] , 106 minutes ,Hironobu Sakaguchi,2007,John DeMita,$6.14 
1728,Alaska The Last Frontier   ,43 minutes,Atz Kilcher,2013,"Atz Kilcher, Bonnie Kilcher","Buy SD $0.67,Buy HD $22.99,"
1729,Punisher: War Zone [Blu-ray] , 103 minutes ,Lexi Alexander,2009,Ray Stevenson,$5.00 
1730,A Man Called Horse , 114 minutes ,Elliot Silverstein,2003,Richard Harris,$9.64 
1731,The Forbidden Kingdom [Blu-ray] , 104 minutes ,Rob Minkoff,2008,Jackie Chan,$8.51 
1732,The Pretender 2001 / The Pretender - Island of the Haunted , 182 minutes ,Frederick King Keller,2007,Michael T. Weiss,$9.64 
1733,Zorba the Greek , 142 minutes ,Mihalis Kakogiannis,2004,Anthony Quinn,$14.98 
1734,Sword of the Stranger , 103 minutes ,Masahiro Andô,2009,Tomoya Nagase,
1735,Hudson Hawk , 100 minutes ,Michael Lehmann,1999,Sandra Bernhard,$9.26 
1736,Shogun Assassin (30th Anniversary Collector's Edition) [Blu-ray] , 85 minutes ,Robert Houston,2010,Tomisaburo Wakayama,$14.99 
1737,Thirst    ,"1 hour, 36 minutes",Robert Carter,2012,"Victoria Haralabidou, Myles Pollard","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1738,Ocean's 11 (2001) (BD) [Blu-ray] , 116 minutes ,Steven Soderbergh,2008,George Clooney,$8.99 
1739,Camp Nowhere , 96 minutes ,Jonathan Prince,2003,Jonathan Jackson,$9.99 
1740,Fantastic Four [Blu-ray] , 106 minutes ,Tim Story,2006,Ioan Gruffudd,$8.00 
1741,Jumper , 88 minutes ,Doug Liman,2008,Hayden Christensen,$6.15 
1742,X-Men (Widescreen Edition) , 104 minutes ,Bryan Singer,2006,Patrick Stewart,$9.61 
1743,U-571 (Collector's Edition) , 117 minutes ,Jonathan Mostow,2000,Bill Paxton,$9.58 
1744,Osmosis Jones , 95 minutes ,Bobby Farrelly,2001,Laurence Fishburne,$36.99 
1745,From Paris with Love , 92 minutes ,Pierre Morel,2010,John Travolta,$5.00 
1746,Black Robe , 101 minutes ,Bruce Beresford,1998,Lothaire Bluteau,$22.98 
1747,F6 Twister , 90 minutes ,Peter Sullivan,2014,Casper Van Dien,$9.93 
1748,Kangaroo Jack , 89 minutes ,David McNally,2009,Jerry O'Connell,$5.97 
1749,Forbidden Kingdom    ,"1 hour, 45 minutes",Rob Minkoff,2008,"Jet Li, Michael Angarano","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1750,Cellular    ,"1 hour, 34 minutes",David R. Ellis,2004,"Caroline Aaron, Kim Basinger","Rent HD $3.99,Rent SD $2.99,Buy HD $13.99,Buy SD $9.99,"
1751,Ronin    ,"2 hours, 2 minutes",John Frankenheimer,1998,"Robert De Niro, Jean Reno","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1752,Solomon Kane , 103 minutes ,Michael Bassett,2013,James Purefoy,$7.50 
1753,Time Barbarians    ,"1 hour, 37 minutes",Joseph John Barmettler,1990,"Deron McBee, Joann Ayers","Buy SD $9.99,"
1754,New York Minute (Widescreen Edition) , 91 minutes ,Dennie Gordon,2006,Mary-Kate Olsen,$4.91 
1755,The Guyver , 92 minutes ,Screaming Mad George,2005,Jimmy Walker,$10.40 
1756,Dog Day Afternoon    ,"2 hours, 5 minutes",Sidney Lumet,1975,"Penelope Allen, Sully Boyar","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1757,Kill Zone (Ultimate Edition) [Blu-ray] , 96 minutes ,Wilson Yip,2010,Donnie Yen,$12.70 
1758,Abduction , 106 minutes ,John Singleton,2012,Taylor Lautner,$5.00 
1759,Dragonheart    ,"1 hour, 44 minutes",Rob Cohen,1996,"Dennis Quaid, David Thewlis","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1760,First Blood    ,"1 hour, 34 minutes",Ted Kotcheff,1982,"Sylvester Stallone, Richard Crenna","Rent HD $3.99,Rent SD $2.99,"
1761,Unconquered (Universal Cinema Classics) , 146 minutes ,Cecil B. De Mille,2007,Gary Cooper,$9.58 
1762,Storming Juno , 89 minutes ,Tim Wolochatiuk,2013,Benjamin Muir,$10.48 
1763,Battle of Britain , 132 minutes ,Guy Hamilton,2003,Michael Caine,$5.59 
1764,Telephone Operator    ,"1 hour, 2 minutes",Scott Pembroke,1937,"Judith Allen, Grant Withers","Buy SD $9.99,"
1765,The Naked Hills    ,"1 hour, 23 minutes",Josef Shaftel,1956,"David Wayne, Keenan Wynn","Buy SD $14.99,"
1766,Stagecoach    ,"1 hour, 37 minutes",John Ford,1939,"Claire Trevor, John Wayne","Rent SD $2.99,Buy HD $19.99,Buy SD $14.99,"
1767,Donovan's Reef    ,"1 hour, 49 minutes",John Ford,1963,"John Wayne, Lee Marvin","Rent HD $3.99,Rent SD $2.99,Buy HD $13.99,Buy SD $9.99,"
1768,Paul the Apostle , 180 minutes ,Roger Young,2004,Johannes Brandrup,$7.90 
1769,"Outlaw Josey Wales, The/Pale Rider ", 251 minutes ,Various,2014,Various,$5.89 
1770,Batman & Mr. Freeze: Subzero    ,"1 hour, 5 minutes",Boyd Kirkland,1998,"Kevin Conroy, Michael Ansara","Rent SD $2.99,Buy SD $9.99,"
1771,Judge Dredd [Blu-ray] , 96 minutes ,Danny Cannon,2012,Sylvester Stallone,$8.61 
1772,Wonder Woman    ,"1 hour, 14 minutes",Lauren Montgomery,2009,"Keri Russell, Nathan Fillion","Rent HD $3.99,Rent SD $2.99,Buy HD $17.99,Buy SD $9.99,"
1773,The Three Musketeers , 126 minutes ,George Sidney,2007,Lana Turner,$9.59 
1774,Pathfinder    ,"1 hour, 40 minutes",Marcus Nispel,2007,"Karl Urban, Moon Bloodgood","Buy HD $12.99,Buy SD $13.99,"
1775,Wild Wild West (BD) [Blu-ray] , 118 minutes ,Barry Sonnenfeld,2011,Will Smith,$13.89 
1776,Ultimate Flint Collection (Our Man Flint / In Like Flint) , 222 minutes ,Daniel Mann,2006,James Coburn,$14.99 
1777,Force 10 From Navarone , 125 minutes ,Guy Hamilton,2000,Harrison Ford,$7.99 
1778,Once Upon a Time in Mexico [Blu-ray] , 102 minutes ,Robert Rodriguez,2011,Eva Mendes,$13.59 
1779,Never Cry Wolf    ,"1 hour, 46 minutes",Carroll Ballard,1983,"Charles Martin Smith, Brian Dennehy","Rent HD $3.99,Rent SD $2.99,Buy HD $17.99,Buy SD $9.99,"
1780,Cross of Iron (Widescreen Special Edition) , 132 minutes ,Sam Peckinpah,2006,James Coburn,$22.99 
1781,Congo , 110 minutes ,Various,1999,Various,$4.89 
1782,The Towering Inferno    ,"2 hours, 45 minutes",John Guillermin,1975,"Steve McQueen, Paul Newman","Rent HD $3.99,Rent SD $2.99,Buy HD $13.99,Buy SD $13.99,"
1783,Lord of War    ,"2 hours, 2 minutes",Andrew Niccol,2005,"Nicolas Cage, Bridget Moynahan","Rent HD $3.99,Rent SD $2.99,Buy HD $16.99,Buy SD $15.99,"
1784,The Flamingo Kid , 100 minutes ,Garry Marshall,2003,Matt Dillon,$5.49 
1785,Ice Station Zebra , 148 minutes ,John Sturges,2005,Rock Hudson,$9.14 
1786,Moses (The Bible Collection) , 182 minutes ,Various,2005,Various,$14.64 
1787,Timeline (2003) , 116 minutes ,Richard Donner,2004,Paul Walker,$5.97 
1788,Running Scared    ,"2 hours, 2 minutes",Wayne Kramer,2006,"Paul Walker, Cameron Bright","Rent HD $3.99,Rent SD $2.99,Buy HD $6.99,Buy SD $6.99,"
1789,Elektra (Director's Cut) [Blu-ray] , 100 minutes ,Rob Bowman,2010,Jennifer Garner,$9.62 
1790,The Avenging Angel , 100 minutes ,Craig Baxley,2012,Tom Berenger,$17.55 
1791,The Poseidon Adventure , 117 minutes ,Irwin Allen,2006,Gene Hackman,$9.85 
1792,Hoodlum , 130 minutes ,Bill Duke,1998,Laurence Fishburne,$6.59 
1793,The Alamo (Widescreen) , 137 minutes ,John Lee Hancock,2004,Dennis Quaid,$4.97 
1794,The Hunger Games: Cast Interviews    ,7 minutes,Gary Ross,2012,"Elizabeth Banks, Woody Harrelson",
1795,The Guns Of Navarone    ,"2 hours, 37 minutes",J. Lee Thompson,1961,"Gregory Peck, David Niven","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1796,Camelot   ,51 minutes,Joseph Fiennes,2011,"Joseph Fiennes, Jamie Campbell Bower","Buy SD $1.99,Buy HD $9.99,Buy SD $7.99,"
1797,Victory (1981) , 116 minutes ,John Huston,2010,Sylvester Stallone,$5.97 
1798,New Jack City    ,"1 hour, 41 minutes",Mario Van Peebles,1991,"Wesley Snipes, Ice-T","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1799,Batman: The Dark Knight Returns Part 1 (Animated Feature)    ,"1 hour, 17 minutes",Jay Oliva,2012,"Peter Weller, Ariel Winter","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1800,Commando    ,"1 hour, 31 minutes",Mark L. Lester,1985,"Arnold Schwarzenegger, Rae Dawn Chong","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $13.99,"
1801,Fire With Fire , 97 minutes ,David Barrett,2012,Bruce Willis,$7.99 
1802,Ip Man 2 (Two-Disc Collector's Edition) [Blu-ray] , 108 minutes ,Wilson Yip,2011,Donnie Yen,$9.99 
1803,Eurotrip (BD) [Blu-ray] , 93 minutes ,Jeff Schaffer,2013,Scott Mechlowicz,$13.89 
1804,Big Night , 109 minutes ,Stanley Tucci,2002,Stanley Tucci,
1805,The Long Ships , 126 minutes ,Jack Cardiff,2003,Sidney Poitier,$12.82 
1806,Conan the Destroyer [Blu-ray] , 102 minutes ,Richard Fleischer,2011,Arnold Schwarzenegger,$9.49 
1807,North To Alaska    ,"2 hours, 3 minutes",Henry Hathaway,1960,"John Wayne, Stewart Granger","Rent HD $3.99,Rent SD $2.99,Buy HD $13.99,Buy SD $13.99,"
1808,Sex Drive (Unrated)    ,"2 hours, 10 minutes",Sean Anders,2008,"Josh Zuckerman, Amanda Crew","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $7.99,"
1809,The Seeker: The Dark is Rising    ,"1 hour, 39 minutes",David L. Cunningham,2007,"Alexander Ludwig, Christopher Eccleston","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $13.99,"
1810,THE MYSTERIES OF LAURA   ,43 minutes,McG,2014,"Debra Messing, Josh Lucas","Buy SD $1.99,"
1811,Robin Hood: The Complete Series , 1736 minutes ,Alex Pillai,2010,Jonas Armstrong,$63.99 
1812,Denzel Washington 4-Movie Spotlight Series , 725 minutes ,Ridley Scott,2013,RZA,$12.59 
1813,Crocodile Dundee II    ,"1 hour, 52 minutes",John Cornell,1988,"Paul Hogan, Linda Kozlowski","Rent HD $3.99,Rent SD $2.99,Buy HD $13.99,Buy SD $9.99,"
1814,Spring Bears Love (English Subtitled)   ,"1 hour, 38 minutes",Yi Yong,2003,"Doona Bae, Nam-jin Kim","Buy SD $6.99,"
1815,Moment After , 89 minutes ,Wes Llewellyn,2010,Ray Hornblower,$8.69 
1816,Fairy Tail: Part 6 [Blu-ray] , 300 minutes ,Tyler Walker,2013,Cherami Leigh,$31.14 
1817,Star Wars: The Clone Wars   ,23 minutes,Justin Ridge,2009,"Corey Burton, James Arnold Taylor","Buy SD $1.99,Buy HD $29.99,Buy SD $24.99,"
1818,Bronco Billy , 117 minutes ,Clint Eastwood,2010,Clint Eastwood,$5.97 
1819,Agency of Vengeance: Dark Rising , 92 minutes ,Andrew Cymek,2014,Brigitte Kingsley,$9.71 
1820,Cleopatra Jones , 89 minutes ,Jack Starrett,1999,Tamara Dobson,$14.55 
1821,The Mountain Men , 102 minutes ,Richard Lang,2002,Victoria Racimo,$19.99 
1822,Undisputed III: Redemption , 90 minutes ,Isaac Florentine,2010,Scott Adkins,$4.56 
1823,Revolver [Blu-ray] , 104 minutes ,Guy Ritchie,2008,Jason Statham,$13.59 
1824,King Kong '33/ King Kong '76 (DVD) (DBFE) , 234 minutes ,Various,2013,Various,$7.79 
1825,The Gauntlet , 111 minutes ,Clint Eastwood,2010,Clint Eastwood,$4.57 
1826,Man vs. Wild: Season 2 , 540 minutes ,Ben Duncan,2009,Bear Grylls,$9.99 
1827,Stealth & Vertical Limit - Blu-ray Double Feature , 245 minutes ,Rob Cohen,2012,Chris O'Donnell,$4.07 
1828,Outpost , 90 minutes ,Steve Barker,2008,Ray Stevenson,$4.98 
1829,The Desert Rats    ,"1 hour, 29 minutes",Robert Wise,1953,"Richard Burton, James Mason","Rent SD $2.99,Buy SD $9.99,"
1830,The Chronicles of Riddick: Dark Fury    ,34 minutes,Peter Chung,2013,"Vin Diesel, Rhiana Griffith","Buy SD $4.99,"
1831,Tank , 114 minutes ,Marvin J. Chomsky,2004,James Garner,$9.58 
1832,Deathtrap , 116 minutes ,Sidney Lumet,1999,Michael Caine,$6.99 
1833,Spaced Invaders , 100 minutes ,Patrick Read Johnson,2002,Douglas Barr,$9.99 
1834,Remington Steele: Season 1 , 1078 minutes ,Burt Brinckerhoff,2005,Stephanie Zimbalist,$16.79 
1835,The Gary Cooper Collection (Design for Living / The Lives of a Bengal Lancer / Peter Ibbetson / The General Died at Dawn / Beau Geste) , 501 minutes ,Ernst Lubitsch,2005,Edward Everett Horton,$11.64 
1836,Behind Enemy Lines , 106 minutes ,John Moore,2002,Gene Hackman,$4.65 
1837,Yojimbo (The Criterion Collection) [Blu-ray] , 110 minutes ,Akira Kurosawa,2010,Toshirô Mifune,$22.76 
1838,"Essential Movies of the '80s (St. Elmo's Fire, About Last Night, Jagged Edge, Against All Odds) ", 457 minutes ,Edward Zwick,2012,Demi Moore,$13.82 
1839,Smallville   ,43 minutes,Greg Beeman,2002,"Tom Welling, Kristin Kreuk","Buy SD $1.99,Buy HD $39.99,Buy SD $34.99,"
1840,North Face (English Subtitled)    ,"2 hours, 7 minutes",Philipp Stölzl,2008,"Benno Fürmann, Johanna Wokalek","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1841,The Man Who Never Was , 103 minutes ,Ronald Neame,2005,Clifton Webb,$12.68 
1842,The Blue Lagoon (Special Edition) , 105 minutes ,Randal Kleiser,1999,Christopher Atkins,$9.99 
1843,Familiar of Zero: Season 1 [Blu-ray] , 325 minutes ,Tony Oliver,2014,Cristina Valenzuela,$36.70 
1844,Marooned , 129 minutes ,John Sturges,2003,Mariette Hartley,$29.35 
1845,Dante's Peak / Daylight Double Feature [Blu-ray] , 224 minutes ,Rob Cohen,2013,Arabella Field,$9.49 
1846,Blood +: Part Two , 620 minutes ,Junichi Fujisaku,2009,Kari Wahlgren,$17.29 
1847,Destination Truth   ,44 minutes,Josh Gates,2007,"Josh Gates, Neil Mandt","Buy SD $9.99,"
1848,"Lock, Stock and Two Smoking Barrels (Unrated Director's Cut) ", 120 minutes ,Guy Ritchie,2006,Jason Flemyng,$7.68 
1849,ALMOST HUMAN   ,46 minutes,Brad Anderson,2013,"Karl Urban, Michael Ealy","Buy SD $1.99,"
1850,Earthquake [Blu-ray] , 122 minutes ,Mark Robson,2013,Charlton Heston,$13.49 
1851,Spy School    ,"1 hour, 26 minutes",Mark Blutman,2008,"Forrest Landis, AnnaSophia Robb","Buy SD $3.99,"
1852,Charlie's Angels , 98 minutes ,McG,2009,Kelly Lynch,$6.55 
1853,Drunken Master , 111 minutes ,Woo-Ping Yuen,2002,Siu Tien Yuen,$13.99 
1854,Alexander Revisited / Troy / 300 (Triple-Feature) [Blu-ray] , 525 minutes ,Zack Snyder,2012,Gerard Butler,$13.89 
1855,Bull Durham [Blu-ray] , 108 minutes ,Ron Shelton,2011,Kevin Costner,$8.98 
1856,On Her Majesty's Secret Service (Special Edition) , 142 minutes ,Peter R. Hunt,2000,George Lazenby,$11.75 
1857,Flight to Mars , 72 minutes ,Lesley Selander,2002,Marguerite Chapman,$5.99 
1858,Creature From the Black Lagoon: The Legacy Collection (Creature from the Black Lagoon / Revenge of the Creature / The Creature Walks Among Us) , 241 minutes ,Jack Arnold,2004,Antonio Moreno,$36.37 
1859,Neverland , 169 minutes ,Nick Willing,2012,Rhys Ifans,$6.12 
1860,Executive Decision    ,"2 hours, 13 minutes",Stuart Baird,1996,"Kurt Russell, Steven Seagal","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1861,Volunteers , 108 minutes ,Nicholas Meyer,2005,Tom Hanks,$4.72 
1862,The Dogs of War , 102 minutes ,John Irvin,2001,Christopher Walken,$42.49 
1863,K2    ,"1 hour, 44 minutes",Franc Roddam,1991,"Michael Biehn, Matt Craven","Rent SD $2.99,Buy SD $4.99,"
1864,Crossbones   ,51 minutes,David Slade,2014,"Ezra Buzzington, Emilien De Falco","Buy SD $1.99,Buy HD $19.99,Buy SD $14.99,"
1865,Flags of Our Fathers (Widescreen Edition) , 135 minutes ,Clint Eastwood,2007,Ryan Phillippe,$6.93 
1866,Jaws 2 , 117 minutes ,Jeannot Szwarc,2001,Roy Scheider,$6.55 
1867,"Action Packed Movie Marathon (Cyclone, Alienator, Eye Of The Tiger & Exterminator 2) ", 360 minutes ,Richard C. Sarafian,2013,Gary Busey,$6.39 
1868,Tomorrow Never Dies , 119 minutes ,Roger Spottiswoode,2007,Pierce Brosnan,$11.05 
1869,Payback (1999) (BD) [Blu-ray] , 518 minutes ,Various,2013,Various,$9.14 
1870,Out of Sight (Collector's Edition) , 123 minutes ,Steven Soderbergh,2006,George Clooney,$9.05 
1871,Conan the Barbarian , 113 minutes ,Marcus Nispel,2011,Jason Momoa,$3.74 
1872,Traffic , 148 minutes ,Steven Soderbergh,2002,Benicio Del Toro,$6.15 
1873,Chisum    ,"1 hour, 52 minutes",Andrew V. McLaglen,1970,"John Wayne, Forrest Tucker","Rent HD $3.99,Rent SD $2.99,Buy HD $6.99,Buy SD $6.99,"
1874,Brotherhood of the Wolf , 144 minutes ,Christophe Gans,2002,,$52.99 
1875,Incredible Hulk Returns    ,"1 hour, 34 minutes",Nicholas Corea,1988,"Bill Bixby, Lou Ferrigno","Rent SD $2.99,Buy SD $4.99,"
1876,A Dangerous Man , 94 minutes ,Keoni Waxman,2010,Steven Seagal,$5.00 
1877,Bird on a Wire    ,"1 hour, 52 minutes",John Badham,1990,"Mel Gibson, Goldie Hawn","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1878,Pathfinder [Blu-ray] , 99 minutes ,Marcus Nispel,2007,Karl Urban,$8.99 
1879,Alex Cross [DVD + Digital Copy + UltraViolet] , 101 minutes ,Rob Cohen,2013,Tyler Perry,$4.49 
1880,Outland (1981)    ,"1 hour, 50 minutes",Peter Hyams,1981,"Sean Connery, Peter Boyle","Rent SD $2.99,Buy SD $9.99,"
1881,Criminally Clueless- 8 Movie Collection , 782 minutes ,Various,2013,Richard Dreyfuss,$5.44 
1882,Lockout , 95 minutes ,Stephen St. Leger,2012,Guy Pearce,$4.99 
1883,Contraband , 110 minutes ,Baltasar Kormákur,2012,Mark Wahlberg,$4.98 
1884,The Incredible Journey of Mary Bryant , 184 minutes ,Peter Andrikidis,2007,Tony Martin,$5.54 
1885,Hellbound/Hitman/Forced Vengeance (3FE) , 518 minutes ,Various,2006,Various,$5.79 
1886,End of Days  [Blu-ray] , 123 minutes ,Peter Hyams,2008,Arnold Schwarzenegger,$7.88 
1887,The Hunters , 108 minutes ,Dick Powell,2004,Robert Mitchum,$14.98 
1888,Destination Tokyo    ,"2 hours, 15 minutes",Delmer Daves,1943,"Cary Grant, John Garfield","Rent HD $2.99,Rent SD $2.00,Buy HD $12.99,Buy SD $9.99,"
1889,Naruto Shippuden the Movie: The Will of Fire    ,"1 hour, 36 minutes",Satoshi Hino,2009,"Satoshi Hino, Kazuhiko Inoue","Rent HD $4.99,Rent SD $3.99,Buy HD $12.99,Buy SD $9.99,"
1890,Hell and High Water , 103 minutes ,Samuel Fuller,2009,Richard Widmark,$10.20 
1891,"4 Film Favorites: Extreme Action (Eraser, The Last Boy Scout, Passenger 57, Point of No Return) ", 413 minutes ,Tony Scott,2007,Arnold Schwarzenegger,$8.49 
1892,Passchendaele , 114 minutes ,Paul Gross,2010,Paul Gross,$5.85 
1893,Trance , 102 minutes ,Danny Boyle,2013,James McAvoy,$9.96 
1894,Cowboy Up , 112 minutes ,Xavier Koller,2002,Pete Postlethwaite,$9.67 
1895,Five Came Back , 75 minutes ,John Farrow,2015,Chester Morris,$17.99 
1896,Goliath & The Dragon (1960)    ,"1 hour, 27 minutes",Vittorio Cottafavi,2007,"Mark Forest, Broderick Crawford","Buy SD $4.99,"
1897,Godzilla vs. King Ghidorah / Godzilla & Mothra: The Battle for Earth , 203 minutes ,Kazuki Omori,1998,Megumi Odaka,$7.99 
1898,Gun Crazy , 86 minutes ,Joseph H. Lewis,2004,John Dall,$49.99 
1899,Tom Jones , 128 minutes ,Tony Richardson,2001,Albert Finney,$39.18 
1900,Record of Lodoss War: The Complete Series - Volumes 1-13 , 290 minutes ,Akinori Nagaoka,1998,Takeshi Kusao,
1901,Fortress , 100 minutes ,Mike Phillips,2012,Bug Hall,$7.99 
1902,Retreat Hell , 95 minutes ,Joseph H. Lewis,2013,Frank Lovejoy,$13.99 
1903,"The Getaway (Uncut, Unrated) ", 116 minutes ,Roger Donaldson,1998,Alec Baldwin,$69.99 
1904,Nothing To Lose    ,"1 hour, 38 minutes",Steve Oedekerk,1997,"Martin Lawrence, Tim Robbins","Rent HD $3.99,Rent SD $2.99,Buy HD $17.99,Buy SD $9.99,"
1905,Catwoman    ,"1 hour, 45 minutes",Pitof,2004,"Halle Berry, Benjamin Bratt","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1906,The Green Hornet , 119 minutes ,Michel Gondry,2011,Seth Rogen,$7.99 
1907,Babe Winkelman's Outdoor Secrets   ,1/1/2012,Babe Winkelman,2012,19 minutes,"Buy SD $7.99,"
1908,First Blood , 93 minutes ,Ted Kotcheff,2004,Sylvester Stallone,$5.05 
1909,The Wild Bunch (1969)    ,"2 hours, 25 minutes",Sam Peckinpah,1969,"William Holden, Ernest Borgnine","Rent HD $3.99,Rent SD $2.99,Buy HD $6.99,Buy SD $6.99,"
1910,Bill & Ted's Bogus Journey , 93 minutes ,Peter Hewitt,2001,Keanu Reeves,$7.24 
1911,Men of Honor (2000) , 128 minutes ,Jr. George Tillman,2001,Powers Boothe,$8.87 
1912,Superman: The Movie [Blu-ray] , 151 minutes ,Richard Donner,2006,Marlon Brando,$9.75 
1913,Return To The Blue Lagoon    ,"1 hour, 42 minutes",William A. Graham,1991,"Milla Jovovich, Brian Krause","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1914,True Grit /The Searchers (BD) (Double Feature) [Blu-ray] , 247 minutes ,Various,2013,Various,$9.99 
1915,The Mexican    ,"2 hours, 4 minutes",Gore Verbinski,2001,"Brad Pitt, Julia Roberts","Rent HD $3.99,Rent SD $2.99,Buy HD $13.99,Buy SD $9.99,"
1916,Invasion U.S.A. , 107 minutes ,Joseph Zito,2001,Chuck Norris,$6.52 
1917,Street Fighter (Extreme Edition) [Blu-ray] , 102 minutes ,Steve E. De Souza,2009,Jean-Claude Van Damme,$9.99 
1918,Funny Car Summer , 88 minutes ,Ron Phillips,2000,Jim Dunn,$7.19 
1919,Rush Hour [Blu-ray] , 97 minutes ,Brett Ratner,2010,Jackie Chan,$9.65 
1920,"Mr. Wong, Detective - The Complete Collection (Mr. Wong, Detective / The Mystery of Mr. Wong / Mr. Wong in Chinatown / The Fatal Hour / Doomed to Die / Phantom of Chinatown) ", 403 minutes ,William Nigh,2008,Boris Karloff,$17.62 
1921,MacKenna's Gold , 128 minutes ,J. Lee Thompson,2000,Anthony Quayle,$9.92 
1922,Sea of Love    ,"1 hour, 54 minutes",Harold Becker,1989,"Al Pacino, Ellen Barkin","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1923,Prime Cut (1972) , 88 minutes ,Michael Ritchie,2005,Lee Marvin,$9.92 
1924,Windtalkers , 134 minutes ,John Woo,2002,Nicolas Cage,$5.00 
1925,King Solomon's Mines , 173 minutes ,Steve Boyum,2004,Patrick Swayze,
1926,Point of No Return (Keepcase) , 109 minutes ,John Badham,2009,Bridget Fonda,$4.70 
1927,Sinbad the Sailor , 116 minutes ,Richard Wallace,2012,Jr. Douglas Fairbanks,$17.55 
1928,Superman Returns (Widescreen Edition) , 154 minutes ,Bryan Singer,2008,Brandon Routh,$4.93 
1929,Internal Affairs , 107 minutes ,Various,1999,Various,$4.96 
1930,Jaws of Justice    ,55 minutes,Spencer Gordon Bennet,1933,"Jack Perrin, Robert Walker","Buy SD $9.99,"
1931,The Tuxedo    ,"1 hour, 39 minutes",Kevin Donovan,2002,"Jackie Chan, Jennifer Love Hewitt","Rent HD $3.99,Rent SD $2.99,Buy HD $13.99,Buy SD $9.99,"
1932,A Simple Wish    ,"1 hour, 30 minutes",Michael Ritchie,1997,"Robert Pastorelli, Ruby Dee","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1933,After Hours    ,"1 hour, 38 minutes",Martin Scorsese,1985,"Griffin Dunne, Rosanna Arquette","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
1934,The Mummy Returns (Deluxe Edition) [Blu-ray] , 130 minutes ,Stephen Sommers,2008,Brendan Fraser,$9.99 
1935,Beauty and the Beast (The Criterion Collection) [Blu-ray] , 93 minutes ,Jean Cocteau,2011,Jean Marais,$23.59 
